loc,length,bug type,approach
1063,2,Unchecked-Send,code snippet injection
1060,2,Unchecked-Send,code snippet injection
1057,2,Unchecked-Send,code snippet injection
207,2,Unchecked-Send,code snippet injection
200,2,Unchecked-Send,code snippet injection
153,2,Unchecked-Send,code snippet injection
150,2,Unchecked-Send,code snippet injection
113,2,Unchecked-Send,code snippet injection
110,2,Unchecked-Send,code snippet injection
73,2,Unchecked-Send,code snippet injection
70,2,Unchecked-Send,code snippet injection
1125,2,Unchecked-Send,code snippet injection
1117,2,Unchecked-Send,code snippet injection
1106,2,Unchecked-Send,code snippet injection
1100,2,Unchecked-Send,code snippet injection
1073,2,Unchecked-Send,code snippet injection
1038,2,Unchecked-Send,code snippet injection
1031,2,Unchecked-Send,code snippet injection
1024,2,Unchecked-Send,code snippet injection
1014,2,Unchecked-Send,code snippet injection
1008,2,Unchecked-Send,code snippet injection
971,2,Unchecked-Send,code snippet injection
947,2,Unchecked-Send,code snippet injection
926,2,Unchecked-Send,code snippet injection
909,2,Unchecked-Send,code snippet injection
900,2,Unchecked-Send,code snippet injection
882,2,Unchecked-Send,code snippet injection
862,2,Unchecked-Send,code snippet injection
844,2,Unchecked-Send,code snippet injection
826,2,Unchecked-Send,code snippet injection
812,2,Unchecked-Send,code snippet injection
789,2,Unchecked-Send,code snippet injection
