loc,length,bug type,approach
91,2,Unchecked-Send,code snippet injection
76,2,Unchecked-Send,code snippet injection
309,2,Unchecked-Send,code snippet injection
297,2,Unchecked-Send,code snippet injection
261,2,Unchecked-Send,code snippet injection
248,2,Unchecked-Send,code snippet injection
240,2,Unchecked-Send,code snippet injection
234,2,Unchecked-Send,code snippet injection
226,2,Unchecked-Send,code snippet injection
176,2,Unchecked-Send,code snippet injection
170,2,Unchecked-Send,code snippet injection
128,2,Unchecked-Send,code snippet injection
122,2,Unchecked-Send,code snippet injection
91,2,Unchecked-Send,code snippet injection
88,2,Unchecked-Send,code snippet injection
85,2,Unchecked-Send,code snippet injection
76,2,Unchecked-Send,code snippet injection
73,2,Unchecked-Send,code snippet injection
70,2,Unchecked-Send,code snippet injection
60,2,Unchecked-Send,code snippet injection
52,2,Unchecked-Send,code snippet injection
272,2,Unchecked-Send,code snippet injection
269,2,Unchecked-Send,code snippet injection
266,2,Unchecked-Send,code snippet injection
182,2,Unchecked-Send,code snippet injection
115,2,Unchecked-Send,code snippet injection
112,2,Unchecked-Send,code snippet injection
109,2,Unchecked-Send,code snippet injection
106,2,Unchecked-Send,code snippet injection
103,2,Unchecked-Send,code snippet injection
100,2,Unchecked-Send,code snippet injection
39,2,Unchecked-Send,code snippet injection
