loc,length,bug type,approach
97,2,Unchecked-Send,code snippet injection
94,2,Unchecked-Send,code snippet injection
91,2,Unchecked-Send,code snippet injection
88,2,Unchecked-Send,code snippet injection
70,2,Unchecked-Send,code snippet injection
59,2,Unchecked-Send,code snippet injection
41,2,Unchecked-Send,code snippet injection
22,2,Unchecked-Send,code snippet injection
19,2,Unchecked-Send,code snippet injection
16,2,Unchecked-Send,code snippet injection
13,2,Unchecked-Send,code snippet injection
