loc,length,bug type,approach
68,2,Unchecked-Send,code snippet injection
53,2,Unchecked-Send,code snippet injection
50,2,Unchecked-Send,code snippet injection
277,2,Unchecked-Send,code snippet injection
272,2,Unchecked-Send,code snippet injection
266,2,Unchecked-Send,code snippet injection
256,2,Unchecked-Send,code snippet injection
246,2,Unchecked-Send,code snippet injection
241,2,Unchecked-Send,code snippet injection
235,2,Unchecked-Send,code snippet injection
209,2,Unchecked-Send,code snippet injection
170,2,Unchecked-Send,code snippet injection
165,2,Unchecked-Send,code snippet injection
157,2,Unchecked-Send,code snippet injection
152,2,Unchecked-Send,code snippet injection
143,2,Unchecked-Send,code snippet injection
136,2,Unchecked-Send,code snippet injection
128,2,Unchecked-Send,code snippet injection
123,2,Unchecked-Send,code snippet injection
117,2,Unchecked-Send,code snippet injection
94,2,Unchecked-Send,code snippet injection
86,2,Unchecked-Send,code snippet injection
75,2,Unchecked-Send,code snippet injection
60,2,Unchecked-Send,code snippet injection
47,2,Unchecked-Send,code snippet injection
44,2,Unchecked-Send,code snippet injection
41,2,Unchecked-Send,code snippet injection
38,2,Unchecked-Send,code snippet injection
35,2,Unchecked-Send,code snippet injection
32,2,Unchecked-Send,code snippet injection
191,2,Unchecked-Send,code snippet injection
188,2,Unchecked-Send,code snippet injection
