loc,length,bug type,approach
440,2,Unchecked-Send,code snippet injection
437,2,Unchecked-Send,code snippet injection
361,2,Unchecked-Send,code snippet injection
358,2,Unchecked-Send,code snippet injection
310,2,Unchecked-Send,code snippet injection
307,2,Unchecked-Send,code snippet injection
272,2,Unchecked-Send,code snippet injection
210,2,Unchecked-Send,code snippet injection
38,2,Unchecked-Send,code snippet injection
480,2,Unchecked-Send,code snippet injection
471,2,Unchecked-Send,code snippet injection
457,2,Unchecked-Send,code snippet injection
447,2,Unchecked-Send,code snippet injection
427,2,Unchecked-Send,code snippet injection
418,2,Unchecked-Send,code snippet injection
398,2,Unchecked-Send,code snippet injection
387,2,Unchecked-Send,code snippet injection
376,2,Unchecked-Send,code snippet injection
370,2,Unchecked-Send,code snippet injection
351,2,Unchecked-Send,code snippet injection
343,2,Unchecked-Send,code snippet injection
325,2,Unchecked-Send,code snippet injection
319,2,Unchecked-Send,code snippet injection
302,2,Unchecked-Send,code snippet injection
296,2,Unchecked-Send,code snippet injection
290,2,Unchecked-Send,code snippet injection
284,2,Unchecked-Send,code snippet injection
267,2,Unchecked-Send,code snippet injection
261,2,Unchecked-Send,code snippet injection
253,2,Unchecked-Send,code snippet injection
246,2,Unchecked-Send,code snippet injection
240,2,Unchecked-Send,code snippet injection
