loc,length,bug type,approach
862,2,Unchecked-Send,code snippet injection
859,2,Unchecked-Send,code snippet injection
856,2,Unchecked-Send,code snippet injection
853,2,Unchecked-Send,code snippet injection
850,2,Unchecked-Send,code snippet injection
718,2,Unchecked-Send,code snippet injection
715,2,Unchecked-Send,code snippet injection
712,2,Unchecked-Send,code snippet injection
590,2,Unchecked-Send,code snippet injection
574,2,Unchecked-Send,code snippet injection
458,2,Unchecked-Send,code snippet injection
1023,2,Unchecked-Send,code snippet injection
1013,2,Unchecked-Send,code snippet injection
1002,2,Unchecked-Send,code snippet injection
985,2,Unchecked-Send,code snippet injection
975,2,Unchecked-Send,code snippet injection
963,2,Unchecked-Send,code snippet injection
953,2,Unchecked-Send,code snippet injection
943,2,Unchecked-Send,code snippet injection
931,2,Unchecked-Send,code snippet injection
924,2,Unchecked-Send,code snippet injection
912,2,Unchecked-Send,code snippet injection
902,2,Unchecked-Send,code snippet injection
836,2,Unchecked-Send,code snippet injection
824,2,Unchecked-Send,code snippet injection
813,2,Unchecked-Send,code snippet injection
779,2,Unchecked-Send,code snippet injection
766,2,Unchecked-Send,code snippet injection
755,2,Unchecked-Send,code snippet injection
743,2,Unchecked-Send,code snippet injection
698,2,Unchecked-Send,code snippet injection
686,2,Unchecked-Send,code snippet injection
