loc,length,bug type,approach
1296,2,Unchecked-Send,code snippet injection
1289,2,Unchecked-Send,code snippet injection
1282,2,Unchecked-Send,code snippet injection
1275,2,Unchecked-Send,code snippet injection
1268,2,Unchecked-Send,code snippet injection
1260,2,Unchecked-Send,code snippet injection
1251,2,Unchecked-Send,code snippet injection
1248,2,Unchecked-Send,code snippet injection
1245,2,Unchecked-Send,code snippet injection
1238,2,Unchecked-Send,code snippet injection
1231,2,Unchecked-Send,code snippet injection
1224,2,Unchecked-Send,code snippet injection
1212,2,Unchecked-Send,code snippet injection
1208,2,Unchecked-Send,code snippet injection
1202,2,Unchecked-Send,code snippet injection
1199,2,Unchecked-Send,code snippet injection
1196,2,Unchecked-Send,code snippet injection
1193,2,Unchecked-Send,code snippet injection
1190,2,Unchecked-Send,code snippet injection
1183,2,Unchecked-Send,code snippet injection
1180,2,Unchecked-Send,code snippet injection
1164,2,Unchecked-Send,code snippet injection
1148,2,Unchecked-Send,code snippet injection
1134,2,Unchecked-Send,code snippet injection
370,2,Unchecked-Send,code snippet injection
367,2,Unchecked-Send,code snippet injection
364,2,Unchecked-Send,code snippet injection
361,2,Unchecked-Send,code snippet injection
358,2,Unchecked-Send,code snippet injection
355,2,Unchecked-Send,code snippet injection
157,2,Unchecked-Send,code snippet injection
154,2,Unchecked-Send,code snippet injection
