loc,length,bug type,approach
863,2,Unchecked-Send,code snippet injection
860,2,Unchecked-Send,code snippet injection
857,2,Unchecked-Send,code snippet injection
854,2,Unchecked-Send,code snippet injection
849,2,Unchecked-Send,code snippet injection
849,2,Unchecked-Send,code snippet injection
844,2,Unchecked-Send,code snippet injection
839,2,Unchecked-Send,code snippet injection
833,2,Unchecked-Send,code snippet injection
827,2,Unchecked-Send,code snippet injection
822,2,Unchecked-Send,code snippet injection
815,2,Unchecked-Send,code snippet injection
809,2,Unchecked-Send,code snippet injection
801,2,Unchecked-Send,code snippet injection
791,2,Unchecked-Send,code snippet injection
781,2,Unchecked-Send,code snippet injection
763,2,Unchecked-Send,code snippet injection
725,2,Unchecked-Send,code snippet injection
713,2,Unchecked-Send,code snippet injection
708,2,Unchecked-Send,code snippet injection
695,2,Unchecked-Send,code snippet injection
676,2,Unchecked-Send,code snippet injection
646,2,Unchecked-Send,code snippet injection
631,2,Unchecked-Send,code snippet injection
616,2,Unchecked-Send,code snippet injection
593,2,Unchecked-Send,code snippet injection
578,2,Unchecked-Send,code snippet injection
560,2,Unchecked-Send,code snippet injection
532,2,Unchecked-Send,code snippet injection
506,2,Unchecked-Send,code snippet injection
485,2,Unchecked-Send,code snippet injection
456,2,Unchecked-Send,code snippet injection
