loc,length,bug type,approach
149,2,Unchecked-Send,code snippet injection
146,2,Unchecked-Send,code snippet injection
83,2,Unchecked-Send,code snippet injection
331,2,Unchecked-Send,code snippet injection
326,2,Unchecked-Send,code snippet injection
321,2,Unchecked-Send,code snippet injection
316,2,Unchecked-Send,code snippet injection
311,2,Unchecked-Send,code snippet injection
306,2,Unchecked-Send,code snippet injection
295,2,Unchecked-Send,code snippet injection
287,2,Unchecked-Send,code snippet injection
280,2,Unchecked-Send,code snippet injection
271,2,Unchecked-Send,code snippet injection
241,2,Unchecked-Send,code snippet injection
231,2,Unchecked-Send,code snippet injection
221,2,Unchecked-Send,code snippet injection
210,2,Unchecked-Send,code snippet injection
203,2,Unchecked-Send,code snippet injection
196,2,Unchecked-Send,code snippet injection
188,2,Unchecked-Send,code snippet injection
181,2,Unchecked-Send,code snippet injection
175,2,Unchecked-Send,code snippet injection
168,2,Unchecked-Send,code snippet injection
162,2,Unchecked-Send,code snippet injection
156,2,Unchecked-Send,code snippet injection
129,2,Unchecked-Send,code snippet injection
121,2,Unchecked-Send,code snippet injection
115,2,Unchecked-Send,code snippet injection
108,2,Unchecked-Send,code snippet injection
97,2,Unchecked-Send,code snippet injection
91,2,Unchecked-Send,code snippet injection
258,2,Unchecked-Send,code snippet injection
