loc,length,bug type,approach
10,2,Unchecked-Send,code snippet injection
231,2,Unchecked-Send,code snippet injection
225,2,Unchecked-Send,code snippet injection
219,2,Unchecked-Send,code snippet injection
213,2,Unchecked-Send,code snippet injection
207,2,Unchecked-Send,code snippet injection
201,2,Unchecked-Send,code snippet injection
190,2,Unchecked-Send,code snippet injection
184,2,Unchecked-Send,code snippet injection
178,2,Unchecked-Send,code snippet injection
172,2,Unchecked-Send,code snippet injection
166,2,Unchecked-Send,code snippet injection
160,2,Unchecked-Send,code snippet injection
153,2,Unchecked-Send,code snippet injection
121,2,Unchecked-Send,code snippet injection
114,2,Unchecked-Send,code snippet injection
54,2,Unchecked-Send,code snippet injection
43,2,Unchecked-Send,code snippet injection
33,2,Unchecked-Send,code snippet injection
103,2,Unchecked-Send,code snippet injection
100,2,Unchecked-Send,code snippet injection
97,2,Unchecked-Send,code snippet injection
94,2,Unchecked-Send,code snippet injection
90,2,Unchecked-Send,code snippet injection
86,2,Unchecked-Send,code snippet injection
83,2,Unchecked-Send,code snippet injection
79,2,Unchecked-Send,code snippet injection
76,2,Unchecked-Send,code snippet injection
72,2,Unchecked-Send,code snippet injection
68,2,Unchecked-Send,code snippet injection
63,2,Unchecked-Send,code snippet injection
6,2,Unchecked-Send,code snippet injection
