loc,length,bug type,approach
352,2,Unchecked-Send,code snippet injection
345,2,Unchecked-Send,code snippet injection
338,2,Unchecked-Send,code snippet injection
332,2,Unchecked-Send,code snippet injection
323,2,Unchecked-Send,code snippet injection
316,2,Unchecked-Send,code snippet injection
309,2,Unchecked-Send,code snippet injection
302,2,Unchecked-Send,code snippet injection
296,2,Unchecked-Send,code snippet injection
289,2,Unchecked-Send,code snippet injection
181,2,Unchecked-Send,code snippet injection
176,2,Unchecked-Send,code snippet injection
171,2,Unchecked-Send,code snippet injection
166,2,Unchecked-Send,code snippet injection
152,2,Unchecked-Send,code snippet injection
143,2,Unchecked-Send,code snippet injection
134,2,Unchecked-Send,code snippet injection
125,2,Unchecked-Send,code snippet injection
114,2,Unchecked-Send,code snippet injection
108,2,Unchecked-Send,code snippet injection
102,2,Unchecked-Send,code snippet injection
94,2,Unchecked-Send,code snippet injection
88,2,Unchecked-Send,code snippet injection
83,2,Unchecked-Send,code snippet injection
76,2,Unchecked-Send,code snippet injection
71,2,Unchecked-Send,code snippet injection
56,2,Unchecked-Send,code snippet injection
49,2,Unchecked-Send,code snippet injection
280,2,Unchecked-Send,code snippet injection
277,2,Unchecked-Send,code snippet injection
274,2,Unchecked-Send,code snippet injection
271,2,Unchecked-Send,code snippet injection
