loc,length,bug type,approach
288,2,Unchecked-Send,code snippet injection
285,2,Unchecked-Send,code snippet injection
282,2,Unchecked-Send,code snippet injection
1172,2,Unchecked-Send,code snippet injection
1160,2,Unchecked-Send,code snippet injection
1138,2,Unchecked-Send,code snippet injection
1115,2,Unchecked-Send,code snippet injection
1104,2,Unchecked-Send,code snippet injection
1083,2,Unchecked-Send,code snippet injection
1061,2,Unchecked-Send,code snippet injection
1045,2,Unchecked-Send,code snippet injection
1036,2,Unchecked-Send,code snippet injection
1027,2,Unchecked-Send,code snippet injection
1018,2,Unchecked-Send,code snippet injection
1009,2,Unchecked-Send,code snippet injection
1000,2,Unchecked-Send,code snippet injection
991,2,Unchecked-Send,code snippet injection
981,2,Unchecked-Send,code snippet injection
969,2,Unchecked-Send,code snippet injection
951,2,Unchecked-Send,code snippet injection
946,2,Unchecked-Send,code snippet injection
940,2,Unchecked-Send,code snippet injection
918,2,Unchecked-Send,code snippet injection
888,2,Unchecked-Send,code snippet injection
872,2,Unchecked-Send,code snippet injection
852,2,Unchecked-Send,code snippet injection
842,2,Unchecked-Send,code snippet injection
835,2,Unchecked-Send,code snippet injection
812,2,Unchecked-Send,code snippet injection
790,2,Unchecked-Send,code snippet injection
772,2,Unchecked-Send,code snippet injection
758,2,Unchecked-Send,code snippet injection
