loc,length,bug type,approach
294,2,Unchecked-Send,code snippet injection
286,2,Unchecked-Send,code snippet injection
278,2,Unchecked-Send,code snippet injection
269,2,Unchecked-Send,code snippet injection
96,2,Unchecked-Send,code snippet injection
88,2,Unchecked-Send,code snippet injection
515,2,Unchecked-Send,code snippet injection
508,2,Unchecked-Send,code snippet injection
502,2,Unchecked-Send,code snippet injection
492,2,Unchecked-Send,code snippet injection
477,2,Unchecked-Send,code snippet injection
456,2,Unchecked-Send,code snippet injection
442,2,Unchecked-Send,code snippet injection
425,2,Unchecked-Send,code snippet injection
411,2,Unchecked-Send,code snippet injection
395,2,Unchecked-Send,code snippet injection
379,2,Unchecked-Send,code snippet injection
344,2,Unchecked-Send,code snippet injection
313,2,Unchecked-Send,code snippet injection
255,2,Unchecked-Send,code snippet injection
249,2,Unchecked-Send,code snippet injection
243,2,Unchecked-Send,code snippet injection
234,2,Unchecked-Send,code snippet injection
228,2,Unchecked-Send,code snippet injection
198,2,Unchecked-Send,code snippet injection
192,2,Unchecked-Send,code snippet injection
175,2,Unchecked-Send,code snippet injection
163,2,Unchecked-Send,code snippet injection
145,2,Unchecked-Send,code snippet injection
121,2,Unchecked-Send,code snippet injection
118,2,Unchecked-Send,code snippet injection
113,2,Unchecked-Send,code snippet injection
