loc,length,bug type,approach
456,2,Unchecked-Send,code snippet injection
395,2,Unchecked-Send,code snippet injection
191,2,Unchecked-Send,code snippet injection
183,2,Unchecked-Send,code snippet injection
20,2,Unchecked-Send,code snippet injection
14,2,Unchecked-Send,code snippet injection
521,2,Unchecked-Send,code snippet injection
514,2,Unchecked-Send,code snippet injection
508,2,Unchecked-Send,code snippet injection
495,2,Unchecked-Send,code snippet injection
489,2,Unchecked-Send,code snippet injection
475,2,Unchecked-Send,code snippet injection
466,2,Unchecked-Send,code snippet injection
441,2,Unchecked-Send,code snippet injection
435,2,Unchecked-Send,code snippet injection
411,2,Unchecked-Send,code snippet injection
176,2,Unchecked-Send,code snippet injection
172,2,Unchecked-Send,code snippet injection
167,2,Unchecked-Send,code snippet injection
162,2,Unchecked-Send,code snippet injection
158,2,Unchecked-Send,code snippet injection
153,2,Unchecked-Send,code snippet injection
149,2,Unchecked-Send,code snippet injection
75,2,Unchecked-Send,code snippet injection
63,2,Unchecked-Send,code snippet injection
53,2,Unchecked-Send,code snippet injection
32,2,Unchecked-Send,code snippet injection
450,2,Unchecked-Send,code snippet injection
447,2,Unchecked-Send,code snippet injection
384,2,Unchecked-Send,code snippet injection
381,2,Unchecked-Send,code snippet injection
9,2,Unchecked-Send,code snippet injection
