loc,length,bug type,approach
684,9,Unhandled-Exceptions,code snippet injection
676,3,Unhandled-Exceptions,code snippet injection
651,3,Unhandled-Exceptions,code snippet injection
641,6,Unhandled-Exceptions,code snippet injection
612,3,Unhandled-Exceptions,code snippet injection
605,2,Unhandled-Exceptions,code snippet injection
563,3,Unhandled-Exceptions,code snippet injection
535,3,Unhandled-Exceptions,code snippet injection
506,5,Unhandled-Exceptions,code snippet injection
482,3,Unhandled-Exceptions,code snippet injection
463,3,Unhandled-Exceptions,code snippet injection
453,3,Unhandled-Exceptions,code snippet injection
435,2,Unhandled-Exceptions,code snippet injection
421,9,Unhandled-Exceptions,code snippet injection
265,8,Unhandled-Exceptions,code snippet injection
248,9,Unhandled-Exceptions,code snippet injection
240,3,Unhandled-Exceptions,code snippet injection
226,9,Unhandled-Exceptions,code snippet injection
215,5,Unhandled-Exceptions,code snippet injection
208,2,Unhandled-Exceptions,code snippet injection
196,6,Unhandled-Exceptions,code snippet injection
182,8,Unhandled-Exceptions,code snippet injection
629,5,Unhandled-Exceptions,code snippet injection
625,3,Unhandled-Exceptions,code snippet injection
620,3,Unhandled-Exceptions,code snippet injection
405,3,Unhandled-Exceptions,code snippet injection
400,3,Unhandled-Exceptions,code snippet injection
394,5,Unhandled-Exceptions,code snippet injection
388,5,Unhandled-Exceptions,code snippet injection
381,5,Unhandled-Exceptions,code snippet injection
375,5,Unhandled-Exceptions,code snippet injection
371,3,Unhandled-Exceptions,code snippet injection
364,5,Unhandled-Exceptions,code snippet injection
354,9,Unhandled-Exceptions,code snippet injection
350,3,Unhandled-Exceptions,code snippet injection
154,8,Unhandled-Exceptions,code snippet injection
151,2,Unhandled-Exceptions,code snippet injection
146,3,Unhandled-Exceptions,code snippet injection
141,3,Unhandled-Exceptions,code snippet injection
137,3,Unhandled-Exceptions,code snippet injection
133,3,Unhandled-Exceptions,code snippet injection
126,6,Unhandled-Exceptions,code snippet injection
122,3,Unhandled-Exceptions,code snippet injection
113,8,Unhandled-Exceptions,code snippet injection
