loc,length,bug type,approach
390,9,Unhandled-Exceptions,code snippet injection
385,3,Unhandled-Exceptions,code snippet injection
498,3,Unhandled-Exceptions,code snippet injection
477,6,Unhandled-Exceptions,code snippet injection
462,3,Unhandled-Exceptions,code snippet injection
447,2,Unhandled-Exceptions,code snippet injection
436,3,Unhandled-Exceptions,code snippet injection
425,3,Unhandled-Exceptions,code snippet injection
410,5,Unhandled-Exceptions,code snippet injection
273,3,Unhandled-Exceptions,code snippet injection
263,3,Unhandled-Exceptions,code snippet injection
257,3,Unhandled-Exceptions,code snippet injection
252,2,Unhandled-Exceptions,code snippet injection
240,9,Unhandled-Exceptions,code snippet injection
193,8,Unhandled-Exceptions,code snippet injection
168,9,Unhandled-Exceptions,code snippet injection
158,3,Unhandled-Exceptions,code snippet injection
140,9,Unhandled-Exceptions,code snippet injection
126,5,Unhandled-Exceptions,code snippet injection
114,2,Unhandled-Exceptions,code snippet injection
104,6,Unhandled-Exceptions,code snippet injection
92,8,Unhandled-Exceptions,code snippet injection
82,5,Unhandled-Exceptions,code snippet injection
75,3,Unhandled-Exceptions,code snippet injection
69,3,Unhandled-Exceptions,code snippet injection
62,3,Unhandled-Exceptions,code snippet injection
56,3,Unhandled-Exceptions,code snippet injection
30,5,Unhandled-Exceptions,code snippet injection
20,5,Unhandled-Exceptions,code snippet injection
378,5,Unhandled-Exceptions,code snippet injection
371,5,Unhandled-Exceptions,code snippet injection
367,3,Unhandled-Exceptions,code snippet injection
227,5,Unhandled-Exceptions,code snippet injection
217,9,Unhandled-Exceptions,code snippet injection
213,3,Unhandled-Exceptions,code snippet injection
204,8,Unhandled-Exceptions,code snippet injection
50,2,Unhandled-Exceptions,code snippet injection
45,3,Unhandled-Exceptions,code snippet injection
40,3,Unhandled-Exceptions,code snippet injection
