loc,length,bug type,approach
314,9,Unhandled-Exceptions,code snippet injection
221,3,Unhandled-Exceptions,code snippet injection
215,3,Unhandled-Exceptions,code snippet injection
206,6,Unhandled-Exceptions,code snippet injection
200,3,Unhandled-Exceptions,code snippet injection
170,2,Unhandled-Exceptions,code snippet injection
160,3,Unhandled-Exceptions,code snippet injection
150,3,Unhandled-Exceptions,code snippet injection
138,5,Unhandled-Exceptions,code snippet injection
127,3,Unhandled-Exceptions,code snippet injection
120,3,Unhandled-Exceptions,code snippet injection
113,3,Unhandled-Exceptions,code snippet injection
106,2,Unhandled-Exceptions,code snippet injection
93,9,Unhandled-Exceptions,code snippet injection
82,8,Unhandled-Exceptions,code snippet injection
69,9,Unhandled-Exceptions,code snippet injection
63,3,Unhandled-Exceptions,code snippet injection
30,9,Unhandled-Exceptions,code snippet injection
20,5,Unhandled-Exceptions,code snippet injection
191,2,Unhandled-Exceptions,code snippet injection
184,6,Unhandled-Exceptions,code snippet injection
175,8,Unhandled-Exceptions,code snippet injection
54,5,Unhandled-Exceptions,code snippet injection
49,3,Unhandled-Exceptions,code snippet injection
44,3,Unhandled-Exceptions,code snippet injection
