loc,length,bug type,approach
350,9,Unhandled-Exceptions,code snippet injection
252,3,Unhandled-Exceptions,code snippet injection
245,3,Unhandled-Exceptions,code snippet injection
235,6,Unhandled-Exceptions,code snippet injection
228,3,Unhandled-Exceptions,code snippet injection
198,2,Unhandled-Exceptions,code snippet injection
182,3,Unhandled-Exceptions,code snippet injection
171,3,Unhandled-Exceptions,code snippet injection
159,5,Unhandled-Exceptions,code snippet injection
147,3,Unhandled-Exceptions,code snippet injection
139,3,Unhandled-Exceptions,code snippet injection
131,3,Unhandled-Exceptions,code snippet injection
123,2,Unhandled-Exceptions,code snippet injection
109,9,Unhandled-Exceptions,code snippet injection
97,8,Unhandled-Exceptions,code snippet injection
83,9,Unhandled-Exceptions,code snippet injection
76,3,Unhandled-Exceptions,code snippet injection
39,9,Unhandled-Exceptions,code snippet injection
29,5,Unhandled-Exceptions,code snippet injection
219,2,Unhandled-Exceptions,code snippet injection
212,6,Unhandled-Exceptions,code snippet injection
203,8,Unhandled-Exceptions,code snippet injection
66,5,Unhandled-Exceptions,code snippet injection
61,3,Unhandled-Exceptions,code snippet injection
56,3,Unhandled-Exceptions,code snippet injection
52,3,Unhandled-Exceptions,code snippet injection
