loc,length,bug type,approach
198,9,Unhandled-Exceptions,code snippet injection
194,3,Unhandled-Exceptions,code snippet injection
20,3,Unhandled-Exceptions,code snippet injection
363,6,Unhandled-Exceptions,code snippet injection
351,3,Unhandled-Exceptions,code snippet injection
337,2,Unhandled-Exceptions,code snippet injection
327,3,Unhandled-Exceptions,code snippet injection
317,3,Unhandled-Exceptions,code snippet injection
303,5,Unhandled-Exceptions,code snippet injection
293,3,Unhandled-Exceptions,code snippet injection
284,3,Unhandled-Exceptions,code snippet injection
272,3,Unhandled-Exceptions,code snippet injection
266,2,Unhandled-Exceptions,code snippet injection
248,9,Unhandled-Exceptions,code snippet injection
231,8,Unhandled-Exceptions,code snippet injection
216,9,Unhandled-Exceptions,code snippet injection
183,3,Unhandled-Exceptions,code snippet injection
146,9,Unhandled-Exceptions,code snippet injection
139,5,Unhandled-Exceptions,code snippet injection
110,2,Unhandled-Exceptions,code snippet injection
94,6,Unhandled-Exceptions,code snippet injection
78,8,Unhandled-Exceptions,code snippet injection
61,5,Unhandled-Exceptions,code snippet injection
43,3,Unhandled-Exceptions,code snippet injection
33,3,Unhandled-Exceptions,code snippet injection
15,3,Unhandled-Exceptions,code snippet injection
