loc,length,bug type,approach
1157,9,Unhandled-Exceptions,code snippet injection
1146,3,Unhandled-Exceptions,code snippet injection
395,3,Unhandled-Exceptions,code snippet injection
388,6,Unhandled-Exceptions,code snippet injection
265,3,Unhandled-Exceptions,code snippet injection
1378,2,Unhandled-Exceptions,code snippet injection
1368,3,Unhandled-Exceptions,code snippet injection
1358,3,Unhandled-Exceptions,code snippet injection
1341,5,Unhandled-Exceptions,code snippet injection
1287,3,Unhandled-Exceptions,code snippet injection
1251,3,Unhandled-Exceptions,code snippet injection
1172,3,Unhandled-Exceptions,code snippet injection
982,2,Unhandled-Exceptions,code snippet injection
972,9,Unhandled-Exceptions,code snippet injection
942,8,Unhandled-Exceptions,code snippet injection
920,9,Unhandled-Exceptions,code snippet injection
903,3,Unhandled-Exceptions,code snippet injection
856,9,Unhandled-Exceptions,code snippet injection
838,5,Unhandled-Exceptions,code snippet injection
822,2,Unhandled-Exceptions,code snippet injection
802,6,Unhandled-Exceptions,code snippet injection
779,8,Unhandled-Exceptions,code snippet injection
760,5,Unhandled-Exceptions,code snippet injection
742,3,Unhandled-Exceptions,code snippet injection
724,3,Unhandled-Exceptions,code snippet injection
707,3,Unhandled-Exceptions,code snippet injection
690,3,Unhandled-Exceptions,code snippet injection
675,5,Unhandled-Exceptions,code snippet injection
660,5,Unhandled-Exceptions,code snippet injection
646,5,Unhandled-Exceptions,code snippet injection
581,5,Unhandled-Exceptions,code snippet injection
570,3,Unhandled-Exceptions,code snippet injection
539,5,Unhandled-Exceptions,code snippet injection
521,9,Unhandled-Exceptions,code snippet injection
506,3,Unhandled-Exceptions,code snippet injection
486,8,Unhandled-Exceptions,code snippet injection
467,2,Unhandled-Exceptions,code snippet injection
348,3,Unhandled-Exceptions,code snippet injection
335,3,Unhandled-Exceptions,code snippet injection
324,3,Unhandled-Exceptions,code snippet injection
309,3,Unhandled-Exceptions,code snippet injection
288,6,Unhandled-Exceptions,code snippet injection
278,3,Unhandled-Exceptions,code snippet injection
1129,8,Unhandled-Exceptions,code snippet injection
1119,9,Unhandled-Exceptions,code snippet injection
1108,9,Unhandled-Exceptions,code snippet injection
1098,9,Unhandled-Exceptions,code snippet injection
883,6,Unhandled-Exceptions,code snippet injection
