loc,length,bug type,approach
2766,9,Unhandled-Exceptions,code snippet injection
2758,3,Unhandled-Exceptions,code snippet injection
2750,3,Unhandled-Exceptions,code snippet injection
2739,6,Unhandled-Exceptions,code snippet injection
2731,3,Unhandled-Exceptions,code snippet injection
2724,2,Unhandled-Exceptions,code snippet injection
2716,3,Unhandled-Exceptions,code snippet injection
2708,3,Unhandled-Exceptions,code snippet injection
2526,5,Unhandled-Exceptions,code snippet injection
2518,3,Unhandled-Exceptions,code snippet injection
1039,3,Unhandled-Exceptions,code snippet injection
1031,3,Unhandled-Exceptions,code snippet injection
1024,2,Unhandled-Exceptions,code snippet injection
1010,9,Unhandled-Exceptions,code snippet injection
984,8,Unhandled-Exceptions,code snippet injection
970,9,Unhandled-Exceptions,code snippet injection
962,3,Unhandled-Exceptions,code snippet injection
948,9,Unhandled-Exceptions,code snippet injection
938,5,Unhandled-Exceptions,code snippet injection
931,2,Unhandled-Exceptions,code snippet injection
3828,6,Unhandled-Exceptions,code snippet injection
3803,8,Unhandled-Exceptions,code snippet injection
3771,5,Unhandled-Exceptions,code snippet injection
3745,3,Unhandled-Exceptions,code snippet injection
3706,3,Unhandled-Exceptions,code snippet injection
3684,3,Unhandled-Exceptions,code snippet injection
3639,3,Unhandled-Exceptions,code snippet injection
3604,5,Unhandled-Exceptions,code snippet injection
3571,5,Unhandled-Exceptions,code snippet injection
3514,5,Unhandled-Exceptions,code snippet injection
3423,5,Unhandled-Exceptions,code snippet injection
3410,3,Unhandled-Exceptions,code snippet injection
3373,5,Unhandled-Exceptions,code snippet injection
3346,9,Unhandled-Exceptions,code snippet injection
3322,3,Unhandled-Exceptions,code snippet injection
3289,8,Unhandled-Exceptions,code snippet injection
3256,2,Unhandled-Exceptions,code snippet injection
3226,3,Unhandled-Exceptions,code snippet injection
3177,3,Unhandled-Exceptions,code snippet injection
3150,3,Unhandled-Exceptions,code snippet injection
3121,3,Unhandled-Exceptions,code snippet injection
3099,6,Unhandled-Exceptions,code snippet injection
3063,3,Unhandled-Exceptions,code snippet injection
3037,8,Unhandled-Exceptions,code snippet injection
3004,9,Unhandled-Exceptions,code snippet injection
2984,9,Unhandled-Exceptions,code snippet injection
2957,9,Unhandled-Exceptions,code snippet injection
2929,6,Unhandled-Exceptions,code snippet injection
