loc,length,bug type,approach
76,9,Unhandled-Exceptions,code snippet injection
72,3,Unhandled-Exceptions,code snippet injection
68,3,Unhandled-Exceptions,code snippet injection
61,6,Unhandled-Exceptions,code snippet injection
57,3,Unhandled-Exceptions,code snippet injection
221,2,Unhandled-Exceptions,code snippet injection
192,3,Unhandled-Exceptions,code snippet injection
169,3,Unhandled-Exceptions,code snippet injection
154,5,Unhandled-Exceptions,code snippet injection
139,3,Unhandled-Exceptions,code snippet injection
115,3,Unhandled-Exceptions,code snippet injection
52,3,Unhandled-Exceptions,code snippet injection
48,2,Unhandled-Exceptions,code snippet injection
37,9,Unhandled-Exceptions,code snippet injection
27,8,Unhandled-Exceptions,code snippet injection
16,9,Unhandled-Exceptions,code snippet injection
