loc,length,bug type,approach
227,9,Unhandled-Exceptions,code snippet injection
223,3,Unhandled-Exceptions,code snippet injection
219,3,Unhandled-Exceptions,code snippet injection
212,6,Unhandled-Exceptions,code snippet injection
208,3,Unhandled-Exceptions,code snippet injection
205,2,Unhandled-Exceptions,code snippet injection
201,3,Unhandled-Exceptions,code snippet injection
197,3,Unhandled-Exceptions,code snippet injection
191,5,Unhandled-Exceptions,code snippet injection
187,3,Unhandled-Exceptions,code snippet injection
701,3,Unhandled-Exceptions,code snippet injection
694,3,Unhandled-Exceptions,code snippet injection
686,2,Unhandled-Exceptions,code snippet injection
659,9,Unhandled-Exceptions,code snippet injection
647,8,Unhandled-Exceptions,code snippet injection
634,9,Unhandled-Exceptions,code snippet injection
622,3,Unhandled-Exceptions,code snippet injection
595,9,Unhandled-Exceptions,code snippet injection
572,5,Unhandled-Exceptions,code snippet injection
552,2,Unhandled-Exceptions,code snippet injection
528,6,Unhandled-Exceptions,code snippet injection
502,8,Unhandled-Exceptions,code snippet injection
479,5,Unhandled-Exceptions,code snippet injection
446,3,Unhandled-Exceptions,code snippet injection
434,3,Unhandled-Exceptions,code snippet injection
412,3,Unhandled-Exceptions,code snippet injection
323,3,Unhandled-Exceptions,code snippet injection
289,5,Unhandled-Exceptions,code snippet injection
163,5,Unhandled-Exceptions,code snippet injection
157,5,Unhandled-Exceptions,code snippet injection
151,5,Unhandled-Exceptions,code snippet injection
147,3,Unhandled-Exceptions,code snippet injection
141,5,Unhandled-Exceptions,code snippet injection
131,9,Unhandled-Exceptions,code snippet injection
126,3,Unhandled-Exceptions,code snippet injection
117,8,Unhandled-Exceptions,code snippet injection
114,2,Unhandled-Exceptions,code snippet injection
110,3,Unhandled-Exceptions,code snippet injection
106,3,Unhandled-Exceptions,code snippet injection
102,3,Unhandled-Exceptions,code snippet injection
98,3,Unhandled-Exceptions,code snippet injection
91,6,Unhandled-Exceptions,code snippet injection
87,3,Unhandled-Exceptions,code snippet injection
78,8,Unhandled-Exceptions,code snippet injection
68,9,Unhandled-Exceptions,code snippet injection
58,9,Unhandled-Exceptions,code snippet injection
48,9,Unhandled-Exceptions,code snippet injection
41,6,Unhandled-Exceptions,code snippet injection
