loc,length,bug type,approach
618,9,Unhandled-Exceptions,code snippet injection
555,3,Unhandled-Exceptions,code snippet injection
541,3,Unhandled-Exceptions,code snippet injection
528,6,Unhandled-Exceptions,code snippet injection
509,3,Unhandled-Exceptions,code snippet injection
486,2,Unhandled-Exceptions,code snippet injection
478,3,Unhandled-Exceptions,code snippet injection
460,3,Unhandled-Exceptions,code snippet injection
446,5,Unhandled-Exceptions,code snippet injection
438,3,Unhandled-Exceptions,code snippet injection
431,3,Unhandled-Exceptions,code snippet injection
422,3,Unhandled-Exceptions,code snippet injection
415,2,Unhandled-Exceptions,code snippet injection
401,9,Unhandled-Exceptions,code snippet injection
388,8,Unhandled-Exceptions,code snippet injection
374,9,Unhandled-Exceptions,code snippet injection
144,3,Unhandled-Exceptions,code snippet injection
134,9,Unhandled-Exceptions,code snippet injection
112,5,Unhandled-Exceptions,code snippet injection
350,2,Unhandled-Exceptions,code snippet injection
343,6,Unhandled-Exceptions,code snippet injection
334,8,Unhandled-Exceptions,code snippet injection
327,5,Unhandled-Exceptions,code snippet injection
323,3,Unhandled-Exceptions,code snippet injection
318,3,Unhandled-Exceptions,code snippet injection
314,3,Unhandled-Exceptions,code snippet injection
310,3,Unhandled-Exceptions,code snippet injection
303,5,Unhandled-Exceptions,code snippet injection
296,5,Unhandled-Exceptions,code snippet injection
253,5,Unhandled-Exceptions,code snippet injection
127,5,Unhandled-Exceptions,code snippet injection
119,3,Unhandled-Exceptions,code snippet injection
74,5,Unhandled-Exceptions,code snippet injection
60,9,Unhandled-Exceptions,code snippet injection
