loc,length,bug type,approach
455,9,Unhandled-Exceptions,code snippet injection
448,3,Unhandled-Exceptions,code snippet injection
440,3,Unhandled-Exceptions,code snippet injection
430,6,Unhandled-Exceptions,code snippet injection
423,3,Unhandled-Exceptions,code snippet injection
329,2,Unhandled-Exceptions,code snippet injection
323,3,Unhandled-Exceptions,code snippet injection
317,3,Unhandled-Exceptions,code snippet injection
309,5,Unhandled-Exceptions,code snippet injection
285,3,Unhandled-Exceptions,code snippet injection
272,3,Unhandled-Exceptions,code snippet injection
261,3,Unhandled-Exceptions,code snippet injection
251,2,Unhandled-Exceptions,code snippet injection
201,9,Unhandled-Exceptions,code snippet injection
189,8,Unhandled-Exceptions,code snippet injection
176,9,Unhandled-Exceptions,code snippet injection
168,3,Unhandled-Exceptions,code snippet injection
155,9,Unhandled-Exceptions,code snippet injection
147,5,Unhandled-Exceptions,code snippet injection
141,2,Unhandled-Exceptions,code snippet injection
132,6,Unhandled-Exceptions,code snippet injection
59,8,Unhandled-Exceptions,code snippet injection
49,5,Unhandled-Exceptions,code snippet injection
299,3,Unhandled-Exceptions,code snippet injection
295,3,Unhandled-Exceptions,code snippet injection
291,3,Unhandled-Exceptions,code snippet injection
125,3,Unhandled-Exceptions,code snippet injection
118,5,Unhandled-Exceptions,code snippet injection
111,5,Unhandled-Exceptions,code snippet injection
104,5,Unhandled-Exceptions,code snippet injection
98,5,Unhandled-Exceptions,code snippet injection
94,3,Unhandled-Exceptions,code snippet injection
88,5,Unhandled-Exceptions,code snippet injection
77,9,Unhandled-Exceptions,code snippet injection
72,3,Unhandled-Exceptions,code snippet injection
