loc,length,bug type,approach
1415,9,Unhandled-Exceptions,code snippet injection
1408,3,Unhandled-Exceptions,code snippet injection
1401,3,Unhandled-Exceptions,code snippet injection
245,6,Unhandled-Exceptions,code snippet injection
1653,3,Unhandled-Exceptions,code snippet injection
1627,2,Unhandled-Exceptions,code snippet injection
1605,3,Unhandled-Exceptions,code snippet injection
1585,3,Unhandled-Exceptions,code snippet injection
1504,5,Unhandled-Exceptions,code snippet injection
1482,3,Unhandled-Exceptions,code snippet injection
343,3,Unhandled-Exceptions,code snippet injection
331,3,Unhandled-Exceptions,code snippet injection
321,2,Unhandled-Exceptions,code snippet injection
300,9,Unhandled-Exceptions,code snippet injection
277,8,Unhandled-Exceptions,code snippet injection
261,9,Unhandled-Exceptions,code snippet injection
223,3,Unhandled-Exceptions,code snippet injection
209,9,Unhandled-Exceptions,code snippet injection
199,5,Unhandled-Exceptions,code snippet injection
1460,2,Unhandled-Exceptions,code snippet injection
1450,6,Unhandled-Exceptions,code snippet injection
1437,8,Unhandled-Exceptions,code snippet injection
1429,5,Unhandled-Exceptions,code snippet injection
240,3,Unhandled-Exceptions,code snippet injection
