loc,length,bug type,approach
864,9,Unhandled-Exceptions,code snippet injection
696,3,Unhandled-Exceptions,code snippet injection
1087,3,Unhandled-Exceptions,code snippet injection
1058,6,Unhandled-Exceptions,code snippet injection
1011,3,Unhandled-Exceptions,code snippet injection
1003,2,Unhandled-Exceptions,code snippet injection
991,3,Unhandled-Exceptions,code snippet injection
974,3,Unhandled-Exceptions,code snippet injection
964,5,Unhandled-Exceptions,code snippet injection
949,3,Unhandled-Exceptions,code snippet injection
930,3,Unhandled-Exceptions,code snippet injection
914,3,Unhandled-Exceptions,code snippet injection
908,2,Unhandled-Exceptions,code snippet injection
895,9,Unhandled-Exceptions,code snippet injection
883,8,Unhandled-Exceptions,code snippet injection
811,9,Unhandled-Exceptions,code snippet injection
789,3,Unhandled-Exceptions,code snippet injection
771,9,Unhandled-Exceptions,code snippet injection
758,5,Unhandled-Exceptions,code snippet injection
744,2,Unhandled-Exceptions,code snippet injection
723,6,Unhandled-Exceptions,code snippet injection
708,8,Unhandled-Exceptions,code snippet injection
673,5,Unhandled-Exceptions,code snippet injection
659,3,Unhandled-Exceptions,code snippet injection
635,3,Unhandled-Exceptions,code snippet injection
613,3,Unhandled-Exceptions,code snippet injection
593,3,Unhandled-Exceptions,code snippet injection
565,5,Unhandled-Exceptions,code snippet injection
541,5,Unhandled-Exceptions,code snippet injection
519,5,Unhandled-Exceptions,code snippet injection
496,5,Unhandled-Exceptions,code snippet injection
481,3,Unhandled-Exceptions,code snippet injection
469,5,Unhandled-Exceptions,code snippet injection
447,9,Unhandled-Exceptions,code snippet injection
437,3,Unhandled-Exceptions,code snippet injection
854,8,Unhandled-Exceptions,code snippet injection
851,2,Unhandled-Exceptions,code snippet injection
847,3,Unhandled-Exceptions,code snippet injection
843,3,Unhandled-Exceptions,code snippet injection
839,3,Unhandled-Exceptions,code snippet injection
834,3,Unhandled-Exceptions,code snippet injection
827,6,Unhandled-Exceptions,code snippet injection
691,3,Unhandled-Exceptions,code snippet injection
421,8,Unhandled-Exceptions,code snippet injection
410,9,Unhandled-Exceptions,code snippet injection
399,9,Unhandled-Exceptions,code snippet injection
