loc,length,bug type,approach
357,9,Unhandled-Exceptions,code snippet injection
260,3,Unhandled-Exceptions,code snippet injection
253,3,Unhandled-Exceptions,code snippet injection
243,6,Unhandled-Exceptions,code snippet injection
236,3,Unhandled-Exceptions,code snippet injection
206,2,Unhandled-Exceptions,code snippet injection
190,3,Unhandled-Exceptions,code snippet injection
179,3,Unhandled-Exceptions,code snippet injection
166,5,Unhandled-Exceptions,code snippet injection
154,3,Unhandled-Exceptions,code snippet injection
146,3,Unhandled-Exceptions,code snippet injection
138,3,Unhandled-Exceptions,code snippet injection
130,2,Unhandled-Exceptions,code snippet injection
116,9,Unhandled-Exceptions,code snippet injection
104,8,Unhandled-Exceptions,code snippet injection
90,9,Unhandled-Exceptions,code snippet injection
83,3,Unhandled-Exceptions,code snippet injection
46,9,Unhandled-Exceptions,code snippet injection
36,5,Unhandled-Exceptions,code snippet injection
227,2,Unhandled-Exceptions,code snippet injection
220,6,Unhandled-Exceptions,code snippet injection
211,8,Unhandled-Exceptions,code snippet injection
73,5,Unhandled-Exceptions,code snippet injection
68,3,Unhandled-Exceptions,code snippet injection
63,3,Unhandled-Exceptions,code snippet injection
59,3,Unhandled-Exceptions,code snippet injection
