loc,length,bug type,approach
392,9,Unhandled-Exceptions,code snippet injection
387,3,Unhandled-Exceptions,code snippet injection
500,3,Unhandled-Exceptions,code snippet injection
479,6,Unhandled-Exceptions,code snippet injection
464,3,Unhandled-Exceptions,code snippet injection
449,2,Unhandled-Exceptions,code snippet injection
438,3,Unhandled-Exceptions,code snippet injection
427,3,Unhandled-Exceptions,code snippet injection
412,5,Unhandled-Exceptions,code snippet injection
273,3,Unhandled-Exceptions,code snippet injection
263,3,Unhandled-Exceptions,code snippet injection
257,3,Unhandled-Exceptions,code snippet injection
252,2,Unhandled-Exceptions,code snippet injection
240,9,Unhandled-Exceptions,code snippet injection
193,8,Unhandled-Exceptions,code snippet injection
168,9,Unhandled-Exceptions,code snippet injection
158,3,Unhandled-Exceptions,code snippet injection
140,9,Unhandled-Exceptions,code snippet injection
126,5,Unhandled-Exceptions,code snippet injection
114,2,Unhandled-Exceptions,code snippet injection
104,6,Unhandled-Exceptions,code snippet injection
92,8,Unhandled-Exceptions,code snippet injection
82,5,Unhandled-Exceptions,code snippet injection
75,3,Unhandled-Exceptions,code snippet injection
69,3,Unhandled-Exceptions,code snippet injection
62,3,Unhandled-Exceptions,code snippet injection
56,3,Unhandled-Exceptions,code snippet injection
30,5,Unhandled-Exceptions,code snippet injection
20,5,Unhandled-Exceptions,code snippet injection
380,5,Unhandled-Exceptions,code snippet injection
373,5,Unhandled-Exceptions,code snippet injection
369,3,Unhandled-Exceptions,code snippet injection
227,5,Unhandled-Exceptions,code snippet injection
217,9,Unhandled-Exceptions,code snippet injection
213,3,Unhandled-Exceptions,code snippet injection
204,8,Unhandled-Exceptions,code snippet injection
50,2,Unhandled-Exceptions,code snippet injection
45,3,Unhandled-Exceptions,code snippet injection
40,3,Unhandled-Exceptions,code snippet injection
