loc,length,bug type,approach
207,9,Unhandled-Exceptions,code snippet injection
203,3,Unhandled-Exceptions,code snippet injection
199,3,Unhandled-Exceptions,code snippet injection
192,6,Unhandled-Exceptions,code snippet injection
188,3,Unhandled-Exceptions,code snippet injection
185,2,Unhandled-Exceptions,code snippet injection
463,3,Unhandled-Exceptions,code snippet injection
454,3,Unhandled-Exceptions,code snippet injection
445,5,Unhandled-Exceptions,code snippet injection
432,3,Unhandled-Exceptions,code snippet injection
417,3,Unhandled-Exceptions,code snippet injection
382,3,Unhandled-Exceptions,code snippet injection
376,2,Unhandled-Exceptions,code snippet injection
104,9,Unhandled-Exceptions,code snippet injection
79,8,Unhandled-Exceptions,code snippet injection
56,9,Unhandled-Exceptions,code snippet injection
49,3,Unhandled-Exceptions,code snippet injection
174,9,Unhandled-Exceptions,code snippet injection
168,5,Unhandled-Exceptions,code snippet injection
165,2,Unhandled-Exceptions,code snippet injection
158,6,Unhandled-Exceptions,code snippet injection
148,8,Unhandled-Exceptions,code snippet injection
142,5,Unhandled-Exceptions,code snippet injection
138,3,Unhandled-Exceptions,code snippet injection
134,3,Unhandled-Exceptions,code snippet injection
129,3,Unhandled-Exceptions,code snippet injection
23,3,Unhandled-Exceptions,code snippet injection
16,5,Unhandled-Exceptions,code snippet injection
10,5,Unhandled-Exceptions,code snippet injection
