loc,length,bug type,approach
486,9,Unhandled-Exceptions,code snippet injection
482,3,Unhandled-Exceptions,code snippet injection
478,3,Unhandled-Exceptions,code snippet injection
471,6,Unhandled-Exceptions,code snippet injection
467,3,Unhandled-Exceptions,code snippet injection
464,2,Unhandled-Exceptions,code snippet injection
169,3,Unhandled-Exceptions,code snippet injection
165,3,Unhandled-Exceptions,code snippet injection
17,5,Unhandled-Exceptions,code snippet injection
703,3,Unhandled-Exceptions,code snippet injection
696,3,Unhandled-Exceptions,code snippet injection
683,3,Unhandled-Exceptions,code snippet injection
675,2,Unhandled-Exceptions,code snippet injection
659,9,Unhandled-Exceptions,code snippet injection
646,8,Unhandled-Exceptions,code snippet injection
633,9,Unhandled-Exceptions,code snippet injection
626,3,Unhandled-Exceptions,code snippet injection
613,9,Unhandled-Exceptions,code snippet injection
604,5,Unhandled-Exceptions,code snippet injection
598,2,Unhandled-Exceptions,code snippet injection
588,6,Unhandled-Exceptions,code snippet injection
576,8,Unhandled-Exceptions,code snippet injection
567,5,Unhandled-Exceptions,code snippet injection
558,3,Unhandled-Exceptions,code snippet injection
549,3,Unhandled-Exceptions,code snippet injection
541,3,Unhandled-Exceptions,code snippet injection
532,3,Unhandled-Exceptions,code snippet injection
508,5,Unhandled-Exceptions,code snippet injection
498,5,Unhandled-Exceptions,code snippet injection
424,5,Unhandled-Exceptions,code snippet injection
412,5,Unhandled-Exceptions,code snippet injection
402,3,Unhandled-Exceptions,code snippet injection
387,5,Unhandled-Exceptions,code snippet injection
372,9,Unhandled-Exceptions,code snippet injection
353,3,Unhandled-Exceptions,code snippet injection
324,8,Unhandled-Exceptions,code snippet injection
310,2,Unhandled-Exceptions,code snippet injection
300,3,Unhandled-Exceptions,code snippet injection
290,3,Unhandled-Exceptions,code snippet injection
278,3,Unhandled-Exceptions,code snippet injection
268,3,Unhandled-Exceptions,code snippet injection
256,6,Unhandled-Exceptions,code snippet injection
244,3,Unhandled-Exceptions,code snippet injection
232,8,Unhandled-Exceptions,code snippet injection
214,9,Unhandled-Exceptions,code snippet injection
196,9,Unhandled-Exceptions,code snippet injection
181,9,Unhandled-Exceptions,code snippet injection
151,6,Unhandled-Exceptions,code snippet injection
