loc,length,bug type,approach
358,9,Unhandled-Exceptions,code snippet injection
257,3,Unhandled-Exceptions,code snippet injection
250,3,Unhandled-Exceptions,code snippet injection
240,6,Unhandled-Exceptions,code snippet injection
233,3,Unhandled-Exceptions,code snippet injection
200,2,Unhandled-Exceptions,code snippet injection
184,3,Unhandled-Exceptions,code snippet injection
173,3,Unhandled-Exceptions,code snippet injection
160,5,Unhandled-Exceptions,code snippet injection
148,3,Unhandled-Exceptions,code snippet injection
140,3,Unhandled-Exceptions,code snippet injection
132,3,Unhandled-Exceptions,code snippet injection
124,2,Unhandled-Exceptions,code snippet injection
110,9,Unhandled-Exceptions,code snippet injection
98,8,Unhandled-Exceptions,code snippet injection
84,9,Unhandled-Exceptions,code snippet injection
77,3,Unhandled-Exceptions,code snippet injection
42,9,Unhandled-Exceptions,code snippet injection
32,5,Unhandled-Exceptions,code snippet injection
352,2,Unhandled-Exceptions,code snippet injection
220,6,Unhandled-Exceptions,code snippet injection
211,8,Unhandled-Exceptions,code snippet injection
205,5,Unhandled-Exceptions,code snippet injection
69,3,Unhandled-Exceptions,code snippet injection
64,3,Unhandled-Exceptions,code snippet injection
59,3,Unhandled-Exceptions,code snippet injection
55,3,Unhandled-Exceptions,code snippet injection
