loc,length,bug type,approach
363,1,Timestamp-Dependency,code snippet injection
357,1,Timestamp-Dependency,code snippet injection
351,1,Timestamp-Dependency,code snippet injection
345,1,Timestamp-Dependency,code snippet injection
339,1,Timestamp-Dependency,code snippet injection
227,9,Timestamp-Dependency,code snippet injection
220,4,Timestamp-Dependency,code snippet injection
213,4,Timestamp-Dependency,code snippet injection
207,3,Timestamp-Dependency,code snippet injection
175,5,Timestamp-Dependency,code snippet injection
164,4,Timestamp-Dependency,code snippet injection
154,3,Timestamp-Dependency,code snippet injection
142,5,Timestamp-Dependency,code snippet injection
131,3,Timestamp-Dependency,code snippet injection
122,5,Timestamp-Dependency,code snippet injection
115,3,Timestamp-Dependency,code snippet injection
105,5,Timestamp-Dependency,code snippet injection
92,9,Timestamp-Dependency,code snippet injection
85,4,Timestamp-Dependency,code snippet injection
72,9,Timestamp-Dependency,code snippet injection
64,5,Timestamp-Dependency,code snippet injection
30,9,Timestamp-Dependency,code snippet injection
20,5,Timestamp-Dependency,code snippet injection
329,5,Timestamp-Dependency,code snippet injection
324,4,Timestamp-Dependency,code snippet injection
197,3,Timestamp-Dependency,code snippet injection
187,9,Timestamp-Dependency,code snippet injection
183,3,Timestamp-Dependency,code snippet injection
56,4,Timestamp-Dependency,code snippet injection
50,4,Timestamp-Dependency,code snippet injection
44,4,Timestamp-Dependency,code snippet injection
