loc,length,bug type,approach
453,1,Timestamp-Dependency,code snippet injection
451,1,Timestamp-Dependency,code snippet injection
179,1,Timestamp-Dependency,code snippet injection
532,1,Timestamp-Dependency,code snippet injection
530,1,Timestamp-Dependency,code snippet injection
716,9,Timestamp-Dependency,code snippet injection
704,4,Timestamp-Dependency,code snippet injection
696,4,Timestamp-Dependency,code snippet injection
689,3,Timestamp-Dependency,code snippet injection
679,5,Timestamp-Dependency,code snippet injection
655,4,Timestamp-Dependency,code snippet injection
627,3,Timestamp-Dependency,code snippet injection
598,5,Timestamp-Dependency,code snippet injection
564,3,Timestamp-Dependency,code snippet injection
547,5,Timestamp-Dependency,code snippet injection
524,3,Timestamp-Dependency,code snippet injection
485,5,Timestamp-Dependency,code snippet injection
292,9,Timestamp-Dependency,code snippet injection
283,4,Timestamp-Dependency,code snippet injection
269,9,Timestamp-Dependency,code snippet injection
261,5,Timestamp-Dependency,code snippet injection
231,9,Timestamp-Dependency,code snippet injection
216,5,Timestamp-Dependency,code snippet injection
199,5,Timestamp-Dependency,code snippet injection
445,4,Timestamp-Dependency,code snippet injection
441,3,Timestamp-Dependency,code snippet injection
431,9,Timestamp-Dependency,code snippet injection
426,3,Timestamp-Dependency,code snippet injection
420,4,Timestamp-Dependency,code snippet injection
414,4,Timestamp-Dependency,code snippet injection
408,4,Timestamp-Dependency,code snippet injection
397,9,Timestamp-Dependency,code snippet injection
391,5,Timestamp-Dependency,code snippet injection
381,9,Timestamp-Dependency,code snippet injection
373,4,Timestamp-Dependency,code snippet injection
368,4,Timestamp-Dependency,code snippet injection
361,5,Timestamp-Dependency,code snippet injection
354,5,Timestamp-Dependency,code snippet injection
350,3,Timestamp-Dependency,code snippet injection
340,9,Timestamp-Dependency,code snippet injection
336,3,Timestamp-Dependency,code snippet injection
332,3,Timestamp-Dependency,code snippet injection
321,9,Timestamp-Dependency,code snippet injection
311,9,Timestamp-Dependency,code snippet injection
172,3,Timestamp-Dependency,code snippet injection
