loc,length,bug type,approach
234,1,Timestamp-Dependency,code snippet injection
201,1,Timestamp-Dependency,code snippet injection
198,1,Timestamp-Dependency,code snippet injection
77,1,Timestamp-Dependency,code snippet injection
72,1,Timestamp-Dependency,code snippet injection
543,9,Timestamp-Dependency,code snippet injection
530,4,Timestamp-Dependency,code snippet injection
492,4,Timestamp-Dependency,code snippet injection
480,3,Timestamp-Dependency,code snippet injection
459,5,Timestamp-Dependency,code snippet injection
451,4,Timestamp-Dependency,code snippet injection
435,3,Timestamp-Dependency,code snippet injection
402,5,Timestamp-Dependency,code snippet injection
378,3,Timestamp-Dependency,code snippet injection
347,5,Timestamp-Dependency,code snippet injection
329,3,Timestamp-Dependency,code snippet injection
308,5,Timestamp-Dependency,code snippet injection
293,9,Timestamp-Dependency,code snippet injection
272,4,Timestamp-Dependency,code snippet injection
254,9,Timestamp-Dependency,code snippet injection
192,5,Timestamp-Dependency,code snippet injection
180,9,Timestamp-Dependency,code snippet injection
172,5,Timestamp-Dependency,code snippet injection
165,5,Timestamp-Dependency,code snippet injection
158,4,Timestamp-Dependency,code snippet injection
153,3,Timestamp-Dependency,code snippet injection
136,9,Timestamp-Dependency,code snippet injection
123,3,Timestamp-Dependency,code snippet injection
111,4,Timestamp-Dependency,code snippet injection
88,4,Timestamp-Dependency,code snippet injection
518,4,Timestamp-Dependency,code snippet injection
508,9,Timestamp-Dependency,code snippet injection
502,5,Timestamp-Dependency,code snippet injection
237,9,Timestamp-Dependency,code snippet injection
228,4,Timestamp-Dependency,code snippet injection
222,4,Timestamp-Dependency,code snippet injection
215,5,Timestamp-Dependency,code snippet injection
64,5,Timestamp-Dependency,code snippet injection
