loc,length,bug type,approach
52,1,Timestamp-Dependency,code snippet injection
74,1,Timestamp-Dependency,code snippet injection
586,1,Timestamp-Dependency,code snippet injection
581,1,Timestamp-Dependency,code snippet injection
560,1,Timestamp-Dependency,code snippet injection
547,9,Timestamp-Dependency,code snippet injection
528,4,Timestamp-Dependency,code snippet injection
520,4,Timestamp-Dependency,code snippet injection
511,3,Timestamp-Dependency,code snippet injection
500,5,Timestamp-Dependency,code snippet injection
491,4,Timestamp-Dependency,code snippet injection
483,3,Timestamp-Dependency,code snippet injection
473,5,Timestamp-Dependency,code snippet injection
465,3,Timestamp-Dependency,code snippet injection
296,5,Timestamp-Dependency,code snippet injection
290,3,Timestamp-Dependency,code snippet injection
282,5,Timestamp-Dependency,code snippet injection
270,9,Timestamp-Dependency,code snippet injection
254,4,Timestamp-Dependency,code snippet injection
241,9,Timestamp-Dependency,code snippet injection
229,5,Timestamp-Dependency,code snippet injection
213,9,Timestamp-Dependency,code snippet injection
201,5,Timestamp-Dependency,code snippet injection
188,5,Timestamp-Dependency,code snippet injection
180,4,Timestamp-Dependency,code snippet injection
173,3,Timestamp-Dependency,code snippet injection
159,9,Timestamp-Dependency,code snippet injection
152,3,Timestamp-Dependency,code snippet injection
145,4,Timestamp-Dependency,code snippet injection
137,4,Timestamp-Dependency,code snippet injection
130,4,Timestamp-Dependency,code snippet injection
108,9,Timestamp-Dependency,code snippet injection
98,5,Timestamp-Dependency,code snippet injection
86,9,Timestamp-Dependency,code snippet injection
78,4,Timestamp-Dependency,code snippet injection
66,4,Timestamp-Dependency,code snippet injection
58,5,Timestamp-Dependency,code snippet injection
42,5,Timestamp-Dependency,code snippet injection
34,3,Timestamp-Dependency,code snippet injection
20,9,Timestamp-Dependency,code snippet injection
451,3,Timestamp-Dependency,code snippet injection
447,3,Timestamp-Dependency,code snippet injection
436,9,Timestamp-Dependency,code snippet injection
426,9,Timestamp-Dependency,code snippet injection
421,3,Timestamp-Dependency,code snippet injection
