loc,length,bug type,approach
1550,1,Timestamp-Dependency,code snippet injection
1548,1,Timestamp-Dependency,code snippet injection
1465,1,Timestamp-Dependency,code snippet injection
1463,1,Timestamp-Dependency,code snippet injection
1340,1,Timestamp-Dependency,code snippet injection
1129,9,Timestamp-Dependency,code snippet injection
1124,4,Timestamp-Dependency,code snippet injection
1783,4,Timestamp-Dependency,code snippet injection
1750,3,Timestamp-Dependency,code snippet injection
1717,5,Timestamp-Dependency,code snippet injection
1705,4,Timestamp-Dependency,code snippet injection
1694,3,Timestamp-Dependency,code snippet injection
1680,5,Timestamp-Dependency,code snippet injection
1668,3,Timestamp-Dependency,code snippet injection
1652,5,Timestamp-Dependency,code snippet injection
1639,3,Timestamp-Dependency,code snippet injection
1624,5,Timestamp-Dependency,code snippet injection
1608,9,Timestamp-Dependency,code snippet injection
1597,4,Timestamp-Dependency,code snippet injection
1528,9,Timestamp-Dependency,code snippet injection
1518,5,Timestamp-Dependency,code snippet injection
1504,9,Timestamp-Dependency,code snippet injection
1495,5,Timestamp-Dependency,code snippet injection
1486,5,Timestamp-Dependency,code snippet injection
1473,4,Timestamp-Dependency,code snippet injection
1453,3,Timestamp-Dependency,code snippet injection
1425,9,Timestamp-Dependency,code snippet injection
1413,3,Timestamp-Dependency,code snippet injection
1401,4,Timestamp-Dependency,code snippet injection
1385,4,Timestamp-Dependency,code snippet injection
1366,4,Timestamp-Dependency,code snippet injection
1350,9,Timestamp-Dependency,code snippet injection
1319,5,Timestamp-Dependency,code snippet injection
1303,9,Timestamp-Dependency,code snippet injection
1281,4,Timestamp-Dependency,code snippet injection
1265,4,Timestamp-Dependency,code snippet injection
1253,5,Timestamp-Dependency,code snippet injection
1230,5,Timestamp-Dependency,code snippet injection
1205,3,Timestamp-Dependency,code snippet injection
1191,9,Timestamp-Dependency,code snippet injection
1183,3,Timestamp-Dependency,code snippet injection
1176,3,Timestamp-Dependency,code snippet injection
1163,9,Timestamp-Dependency,code snippet injection
1145,9,Timestamp-Dependency,code snippet injection
1077,3,Timestamp-Dependency,code snippet injection
