loc,length,bug type,approach
415,1,Timestamp-Dependency,code snippet injection
408,1,Timestamp-Dependency,code snippet injection
401,1,Timestamp-Dependency,code snippet injection
393,1,Timestamp-Dependency,code snippet injection
139,1,Timestamp-Dependency,code snippet injection
124,9,Timestamp-Dependency,code snippet injection
664,4,Timestamp-Dependency,code snippet injection
655,4,Timestamp-Dependency,code snippet injection
648,3,Timestamp-Dependency,code snippet injection
635,5,Timestamp-Dependency,code snippet injection
618,4,Timestamp-Dependency,code snippet injection
596,3,Timestamp-Dependency,code snippet injection
579,5,Timestamp-Dependency,code snippet injection
561,3,Timestamp-Dependency,code snippet injection
544,5,Timestamp-Dependency,code snippet injection
527,3,Timestamp-Dependency,code snippet injection
508,5,Timestamp-Dependency,code snippet injection
466,9,Timestamp-Dependency,code snippet injection
433,4,Timestamp-Dependency,code snippet injection
369,9,Timestamp-Dependency,code snippet injection
360,5,Timestamp-Dependency,code snippet injection
347,9,Timestamp-Dependency,code snippet injection
335,5,Timestamp-Dependency,code snippet injection
326,5,Timestamp-Dependency,code snippet injection
294,4,Timestamp-Dependency,code snippet injection
287,3,Timestamp-Dependency,code snippet injection
263,9,Timestamp-Dependency,code snippet injection
250,3,Timestamp-Dependency,code snippet injection
230,4,Timestamp-Dependency,code snippet injection
204,4,Timestamp-Dependency,code snippet injection
199,4,Timestamp-Dependency,code snippet injection
187,9,Timestamp-Dependency,code snippet injection
180,5,Timestamp-Dependency,code snippet injection
169,9,Timestamp-Dependency,code snippet injection
163,4,Timestamp-Dependency,code snippet injection
157,4,Timestamp-Dependency,code snippet injection
150,5,Timestamp-Dependency,code snippet injection
143,5,Timestamp-Dependency,code snippet injection
110,3,Timestamp-Dependency,code snippet injection
97,9,Timestamp-Dependency,code snippet injection
90,3,Timestamp-Dependency,code snippet injection
83,3,Timestamp-Dependency,code snippet injection
70,9,Timestamp-Dependency,code snippet injection
14,9,Timestamp-Dependency,code snippet injection
383,3,Timestamp-Dependency,code snippet injection
