loc,length,bug type,approach
2141,1,Timestamp-Dependency,code snippet injection
2138,1,Timestamp-Dependency,code snippet injection
2135,1,Timestamp-Dependency,code snippet injection
2132,1,Timestamp-Dependency,code snippet injection
2129,1,Timestamp-Dependency,code snippet injection
2118,9,Timestamp-Dependency,code snippet injection
2112,4,Timestamp-Dependency,code snippet injection
1439,4,Timestamp-Dependency,code snippet injection
1434,3,Timestamp-Dependency,code snippet injection
1427,5,Timestamp-Dependency,code snippet injection
1421,4,Timestamp-Dependency,code snippet injection
1416,3,Timestamp-Dependency,code snippet injection
1409,5,Timestamp-Dependency,code snippet injection
1404,3,Timestamp-Dependency,code snippet injection
1397,5,Timestamp-Dependency,code snippet injection
1392,3,Timestamp-Dependency,code snippet injection
1385,5,Timestamp-Dependency,code snippet injection
2865,9,Timestamp-Dependency,code snippet injection
2849,4,Timestamp-Dependency,code snippet injection
2821,9,Timestamp-Dependency,code snippet injection
2797,5,Timestamp-Dependency,code snippet injection
2763,9,Timestamp-Dependency,code snippet injection
2747,5,Timestamp-Dependency,code snippet injection
2737,5,Timestamp-Dependency,code snippet injection
2710,4,Timestamp-Dependency,code snippet injection
2701,3,Timestamp-Dependency,code snippet injection
2675,9,Timestamp-Dependency,code snippet injection
2654,3,Timestamp-Dependency,code snippet injection
2645,4,Timestamp-Dependency,code snippet injection
2634,4,Timestamp-Dependency,code snippet injection
2608,4,Timestamp-Dependency,code snippet injection
2594,9,Timestamp-Dependency,code snippet injection
2557,5,Timestamp-Dependency,code snippet injection
2521,9,Timestamp-Dependency,code snippet injection
2498,4,Timestamp-Dependency,code snippet injection
2477,4,Timestamp-Dependency,code snippet injection
2423,5,Timestamp-Dependency,code snippet injection
2386,5,Timestamp-Dependency,code snippet injection
2378,3,Timestamp-Dependency,code snippet injection
2364,9,Timestamp-Dependency,code snippet injection
2353,3,Timestamp-Dependency,code snippet injection
2341,3,Timestamp-Dependency,code snippet injection
2327,9,Timestamp-Dependency,code snippet injection
2312,9,Timestamp-Dependency,code snippet injection
2303,3,Timestamp-Dependency,code snippet injection
