loc,length,bug type,approach
42,1,Timestamp-Dependency,code snippet injection
71,1,Timestamp-Dependency,code snippet injection
497,1,Timestamp-Dependency,code snippet injection
489,1,Timestamp-Dependency,code snippet injection
481,1,Timestamp-Dependency,code snippet injection
465,9,Timestamp-Dependency,code snippet injection
454,4,Timestamp-Dependency,code snippet injection
438,4,Timestamp-Dependency,code snippet injection
424,3,Timestamp-Dependency,code snippet injection
405,5,Timestamp-Dependency,code snippet injection
384,4,Timestamp-Dependency,code snippet injection
364,3,Timestamp-Dependency,code snippet injection
307,5,Timestamp-Dependency,code snippet injection
295,3,Timestamp-Dependency,code snippet injection
285,5,Timestamp-Dependency,code snippet injection
278,3,Timestamp-Dependency,code snippet injection
267,5,Timestamp-Dependency,code snippet injection
250,9,Timestamp-Dependency,code snippet injection
238,4,Timestamp-Dependency,code snippet injection
221,9,Timestamp-Dependency,code snippet injection
211,5,Timestamp-Dependency,code snippet injection
197,9,Timestamp-Dependency,code snippet injection
186,5,Timestamp-Dependency,code snippet injection
176,5,Timestamp-Dependency,code snippet injection
167,4,Timestamp-Dependency,code snippet injection
160,3,Timestamp-Dependency,code snippet injection
147,9,Timestamp-Dependency,code snippet injection
95,3,Timestamp-Dependency,code snippet injection
85,4,Timestamp-Dependency,code snippet injection
76,4,Timestamp-Dependency,code snippet injection
62,4,Timestamp-Dependency,code snippet injection
49,9,Timestamp-Dependency,code snippet injection
348,5,Timestamp-Dependency,code snippet injection
333,9,Timestamp-Dependency,code snippet injection
327,4,Timestamp-Dependency,code snippet injection
321,4,Timestamp-Dependency,code snippet injection
137,5,Timestamp-Dependency,code snippet injection
130,5,Timestamp-Dependency,code snippet injection
125,3,Timestamp-Dependency,code snippet injection
31,9,Timestamp-Dependency,code snippet injection
