loc,length,bug type,approach
456,1,Timestamp-Dependency,code snippet injection
495,1,Timestamp-Dependency,code snippet injection
489,1,Timestamp-Dependency,code snippet injection
483,1,Timestamp-Dependency,code snippet injection
476,1,Timestamp-Dependency,code snippet injection
461,9,Timestamp-Dependency,code snippet injection
306,4,Timestamp-Dependency,code snippet injection
298,4,Timestamp-Dependency,code snippet injection
291,3,Timestamp-Dependency,code snippet injection
282,5,Timestamp-Dependency,code snippet injection
246,4,Timestamp-Dependency,code snippet injection
231,3,Timestamp-Dependency,code snippet injection
215,5,Timestamp-Dependency,code snippet injection
204,3,Timestamp-Dependency,code snippet injection
183,5,Timestamp-Dependency,code snippet injection
165,3,Timestamp-Dependency,code snippet injection
148,5,Timestamp-Dependency,code snippet injection
122,9,Timestamp-Dependency,code snippet injection
113,4,Timestamp-Dependency,code snippet injection
96,9,Timestamp-Dependency,code snippet injection
86,5,Timestamp-Dependency,code snippet injection
73,9,Timestamp-Dependency,code snippet injection
37,5,Timestamp-Dependency,code snippet injection
26,5,Timestamp-Dependency,code snippet injection
446,4,Timestamp-Dependency,code snippet injection
442,3,Timestamp-Dependency,code snippet injection
262,9,Timestamp-Dependency,code snippet injection
258,3,Timestamp-Dependency,code snippet injection
253,4,Timestamp-Dependency,code snippet injection
64,4,Timestamp-Dependency,code snippet injection
58,4,Timestamp-Dependency,code snippet injection
47,9,Timestamp-Dependency,code snippet injection
