loc,length,bug type,approach
740,1,Timestamp-Dependency,code snippet injection
733,1,Timestamp-Dependency,code snippet injection
726,1,Timestamp-Dependency,code snippet injection
328,1,Timestamp-Dependency,code snippet injection
326,1,Timestamp-Dependency,code snippet injection
316,9,Timestamp-Dependency,code snippet injection
311,4,Timestamp-Dependency,code snippet injection
817,4,Timestamp-Dependency,code snippet injection
809,3,Timestamp-Dependency,code snippet injection
798,5,Timestamp-Dependency,code snippet injection
788,4,Timestamp-Dependency,code snippet injection
705,3,Timestamp-Dependency,code snippet injection
667,5,Timestamp-Dependency,code snippet injection
631,3,Timestamp-Dependency,code snippet injection
607,5,Timestamp-Dependency,code snippet injection
594,3,Timestamp-Dependency,code snippet injection
574,5,Timestamp-Dependency,code snippet injection
515,9,Timestamp-Dependency,code snippet injection
470,4,Timestamp-Dependency,code snippet injection
430,9,Timestamp-Dependency,code snippet injection
396,5,Timestamp-Dependency,code snippet injection
336,9,Timestamp-Dependency,code snippet injection
300,5,Timestamp-Dependency,code snippet injection
285,5,Timestamp-Dependency,code snippet injection
274,4,Timestamp-Dependency,code snippet injection
264,3,Timestamp-Dependency,code snippet injection
248,9,Timestamp-Dependency,code snippet injection
238,3,Timestamp-Dependency,code snippet injection
222,4,Timestamp-Dependency,code snippet injection
214,4,Timestamp-Dependency,code snippet injection
205,4,Timestamp-Dependency,code snippet injection
192,9,Timestamp-Dependency,code snippet injection
183,5,Timestamp-Dependency,code snippet injection
170,9,Timestamp-Dependency,code snippet injection
159,4,Timestamp-Dependency,code snippet injection
151,4,Timestamp-Dependency,code snippet injection
142,5,Timestamp-Dependency,code snippet injection
