loc,length,bug type,approach
208,1,Timestamp-Dependency,code snippet injection
196,1,Timestamp-Dependency,code snippet injection
190,1,Timestamp-Dependency,code snippet injection
185,1,Timestamp-Dependency,code snippet injection
180,1,Timestamp-Dependency,code snippet injection
163,9,Timestamp-Dependency,code snippet injection
153,4,Timestamp-Dependency,code snippet injection
120,4,Timestamp-Dependency,code snippet injection
110,3,Timestamp-Dependency,code snippet injection
100,5,Timestamp-Dependency,code snippet injection
77,4,Timestamp-Dependency,code snippet injection
69,3,Timestamp-Dependency,code snippet injection
54,5,Timestamp-Dependency,code snippet injection
50,3,Timestamp-Dependency,code snippet injection
44,5,Timestamp-Dependency,code snippet injection
27,3,Timestamp-Dependency,code snippet injection
21,5,Timestamp-Dependency,code snippet injection
11,9,Timestamp-Dependency,code snippet injection
