loc,length,bug type,approach
367,1,Timestamp-Dependency,code snippet injection
361,1,Timestamp-Dependency,code snippet injection
355,1,Timestamp-Dependency,code snippet injection
349,1,Timestamp-Dependency,code snippet injection
343,1,Timestamp-Dependency,code snippet injection
231,9,Timestamp-Dependency,code snippet injection
224,4,Timestamp-Dependency,code snippet injection
217,4,Timestamp-Dependency,code snippet injection
211,3,Timestamp-Dependency,code snippet injection
179,5,Timestamp-Dependency,code snippet injection
168,4,Timestamp-Dependency,code snippet injection
158,3,Timestamp-Dependency,code snippet injection
146,5,Timestamp-Dependency,code snippet injection
135,3,Timestamp-Dependency,code snippet injection
126,5,Timestamp-Dependency,code snippet injection
119,3,Timestamp-Dependency,code snippet injection
109,5,Timestamp-Dependency,code snippet injection
96,9,Timestamp-Dependency,code snippet injection
89,4,Timestamp-Dependency,code snippet injection
76,9,Timestamp-Dependency,code snippet injection
68,5,Timestamp-Dependency,code snippet injection
34,9,Timestamp-Dependency,code snippet injection
24,5,Timestamp-Dependency,code snippet injection
333,5,Timestamp-Dependency,code snippet injection
328,4,Timestamp-Dependency,code snippet injection
201,3,Timestamp-Dependency,code snippet injection
191,9,Timestamp-Dependency,code snippet injection
187,3,Timestamp-Dependency,code snippet injection
60,4,Timestamp-Dependency,code snippet injection
54,4,Timestamp-Dependency,code snippet injection
48,4,Timestamp-Dependency,code snippet injection
