loc,length,bug type,approach
673,1,Timestamp-Dependency,code snippet injection
671,1,Timestamp-Dependency,code snippet injection
669,1,Timestamp-Dependency,code snippet injection
143,1,Timestamp-Dependency,code snippet injection
141,1,Timestamp-Dependency,code snippet injection
131,9,Timestamp-Dependency,code snippet injection
37,4,Timestamp-Dependency,code snippet injection
888,4,Timestamp-Dependency,code snippet injection
870,3,Timestamp-Dependency,code snippet injection
855,5,Timestamp-Dependency,code snippet injection
839,4,Timestamp-Dependency,code snippet injection
832,3,Timestamp-Dependency,code snippet injection
822,5,Timestamp-Dependency,code snippet injection
794,3,Timestamp-Dependency,code snippet injection
779,5,Timestamp-Dependency,code snippet injection
753,3,Timestamp-Dependency,code snippet injection
723,5,Timestamp-Dependency,code snippet injection
654,9,Timestamp-Dependency,code snippet injection
645,4,Timestamp-Dependency,code snippet injection
608,9,Timestamp-Dependency,code snippet injection
587,5,Timestamp-Dependency,code snippet injection
548,9,Timestamp-Dependency,code snippet injection
531,5,Timestamp-Dependency,code snippet injection
501,5,Timestamp-Dependency,code snippet injection
493,4,Timestamp-Dependency,code snippet injection
480,3,Timestamp-Dependency,code snippet injection
459,9,Timestamp-Dependency,code snippet injection
439,3,Timestamp-Dependency,code snippet injection
431,4,Timestamp-Dependency,code snippet injection
421,4,Timestamp-Dependency,code snippet injection
397,4,Timestamp-Dependency,code snippet injection
378,9,Timestamp-Dependency,code snippet injection
351,5,Timestamp-Dependency,code snippet injection
325,9,Timestamp-Dependency,code snippet injection
303,4,Timestamp-Dependency,code snippet injection
293,4,Timestamp-Dependency,code snippet injection
221,5,Timestamp-Dependency,code snippet injection
202,5,Timestamp-Dependency,code snippet injection
186,3,Timestamp-Dependency,code snippet injection
173,9,Timestamp-Dependency,code snippet injection
84,3,Timestamp-Dependency,code snippet injection
77,3,Timestamp-Dependency,code snippet injection
50,9,Timestamp-Dependency,code snippet injection
704,9,Timestamp-Dependency,code snippet injection
700,3,Timestamp-Dependency,code snippet injection
