loc,length,bug type,approach
1317,1,Timestamp-Dependency,code snippet injection
1198,1,Timestamp-Dependency,code snippet injection
220,1,Timestamp-Dependency,code snippet injection
214,1,Timestamp-Dependency,code snippet injection
168,1,Timestamp-Dependency,code snippet injection
158,9,Timestamp-Dependency,code snippet injection
119,4,Timestamp-Dependency,code snippet injection
114,4,Timestamp-Dependency,code snippet injection
76,3,Timestamp-Dependency,code snippet injection
70,5,Timestamp-Dependency,code snippet injection
1374,4,Timestamp-Dependency,code snippet injection
1357,3,Timestamp-Dependency,code snippet injection
1348,5,Timestamp-Dependency,code snippet injection
1324,3,Timestamp-Dependency,code snippet injection
1282,5,Timestamp-Dependency,code snippet injection
1265,3,Timestamp-Dependency,code snippet injection
1256,5,Timestamp-Dependency,code snippet injection
1216,9,Timestamp-Dependency,code snippet injection
1170,4,Timestamp-Dependency,code snippet injection
1157,9,Timestamp-Dependency,code snippet injection
1148,5,Timestamp-Dependency,code snippet injection
1135,9,Timestamp-Dependency,code snippet injection
1123,5,Timestamp-Dependency,code snippet injection
1074,5,Timestamp-Dependency,code snippet injection
1048,4,Timestamp-Dependency,code snippet injection
1026,3,Timestamp-Dependency,code snippet injection
1002,9,Timestamp-Dependency,code snippet injection
992,3,Timestamp-Dependency,code snippet injection
972,4,Timestamp-Dependency,code snippet injection
950,4,Timestamp-Dependency,code snippet injection
930,4,Timestamp-Dependency,code snippet injection
905,9,Timestamp-Dependency,code snippet injection
889,5,Timestamp-Dependency,code snippet injection
859,9,Timestamp-Dependency,code snippet injection
834,4,Timestamp-Dependency,code snippet injection
811,4,Timestamp-Dependency,code snippet injection
781,5,Timestamp-Dependency,code snippet injection
757,5,Timestamp-Dependency,code snippet injection
737,3,Timestamp-Dependency,code snippet injection
710,9,Timestamp-Dependency,code snippet injection
695,3,Timestamp-Dependency,code snippet injection
685,3,Timestamp-Dependency,code snippet injection
663,9,Timestamp-Dependency,code snippet injection
647,9,Timestamp-Dependency,code snippet injection
637,3,Timestamp-Dependency,code snippet injection
