loc,length,bug type,approach
1585,1,Timestamp-Dependency,code snippet injection
1582,1,Timestamp-Dependency,code snippet injection
1580,1,Timestamp-Dependency,code snippet injection
1578,1,Timestamp-Dependency,code snippet injection
1435,1,Timestamp-Dependency,code snippet injection
1753,9,Timestamp-Dependency,code snippet injection
1745,4,Timestamp-Dependency,code snippet injection
1737,4,Timestamp-Dependency,code snippet injection
1729,3,Timestamp-Dependency,code snippet injection
1718,5,Timestamp-Dependency,code snippet injection
1707,4,Timestamp-Dependency,code snippet injection
1688,3,Timestamp-Dependency,code snippet injection
1679,5,Timestamp-Dependency,code snippet injection
1666,3,Timestamp-Dependency,code snippet injection
1652,5,Timestamp-Dependency,code snippet injection
1645,3,Timestamp-Dependency,code snippet injection
1619,5,Timestamp-Dependency,code snippet injection
1606,9,Timestamp-Dependency,code snippet injection
1598,4,Timestamp-Dependency,code snippet injection
1531,9,Timestamp-Dependency,code snippet injection
1522,5,Timestamp-Dependency,code snippet injection
1506,9,Timestamp-Dependency,code snippet injection
1483,5,Timestamp-Dependency,code snippet injection
1469,5,Timestamp-Dependency,code snippet injection
1457,4,Timestamp-Dependency,code snippet injection
1422,3,Timestamp-Dependency,code snippet injection
1406,9,Timestamp-Dependency,code snippet injection
1358,3,Timestamp-Dependency,code snippet injection
1310,4,Timestamp-Dependency,code snippet injection
1268,4,Timestamp-Dependency,code snippet injection
1241,4,Timestamp-Dependency,code snippet injection
1205,9,Timestamp-Dependency,code snippet injection
1176,5,Timestamp-Dependency,code snippet injection
1163,9,Timestamp-Dependency,code snippet injection
1116,4,Timestamp-Dependency,code snippet injection
1100,4,Timestamp-Dependency,code snippet injection
1083,5,Timestamp-Dependency,code snippet injection
1059,5,Timestamp-Dependency,code snippet injection
1031,3,Timestamp-Dependency,code snippet injection
1018,9,Timestamp-Dependency,code snippet injection
990,3,Timestamp-Dependency,code snippet injection
983,3,Timestamp-Dependency,code snippet injection
946,9,Timestamp-Dependency,code snippet injection
933,9,Timestamp-Dependency,code snippet injection
926,3,Timestamp-Dependency,code snippet injection
