loc,length,bug type,approach
641,1,Timestamp-Dependency,code snippet injection
637,1,Timestamp-Dependency,code snippet injection
633,1,Timestamp-Dependency,code snippet injection
629,1,Timestamp-Dependency,code snippet injection
423,1,Timestamp-Dependency,code snippet injection
412,9,Timestamp-Dependency,code snippet injection
406,4,Timestamp-Dependency,code snippet injection
297,4,Timestamp-Dependency,code snippet injection
293,3,Timestamp-Dependency,code snippet injection
140,5,Timestamp-Dependency,code snippet injection
110,4,Timestamp-Dependency,code snippet injection
624,3,Timestamp-Dependency,code snippet injection
606,5,Timestamp-Dependency,code snippet injection
589,3,Timestamp-Dependency,code snippet injection
571,5,Timestamp-Dependency,code snippet injection
559,3,Timestamp-Dependency,code snippet injection
547,5,Timestamp-Dependency,code snippet injection
529,9,Timestamp-Dependency,code snippet injection
520,4,Timestamp-Dependency,code snippet injection
502,9,Timestamp-Dependency,code snippet injection
492,5,Timestamp-Dependency,code snippet injection
473,9,Timestamp-Dependency,code snippet injection
443,5,Timestamp-Dependency,code snippet injection
437,5,Timestamp-Dependency,code snippet injection
432,4,Timestamp-Dependency,code snippet injection
402,3,Timestamp-Dependency,code snippet injection
385,9,Timestamp-Dependency,code snippet injection
377,3,Timestamp-Dependency,code snippet injection
366,4,Timestamp-Dependency,code snippet injection
358,4,Timestamp-Dependency,code snippet injection
346,4,Timestamp-Dependency,code snippet injection
329,9,Timestamp-Dependency,code snippet injection
279,5,Timestamp-Dependency,code snippet injection
260,9,Timestamp-Dependency,code snippet injection
240,4,Timestamp-Dependency,code snippet injection
200,4,Timestamp-Dependency,code snippet injection
186,5,Timestamp-Dependency,code snippet injection
140,5,Timestamp-Dependency,code snippet injection
136,3,Timestamp-Dependency,code snippet injection
126,9,Timestamp-Dependency,code snippet injection
110,3,Timestamp-Dependency,code snippet injection
106,3,Timestamp-Dependency,code snippet injection
96,9,Timestamp-Dependency,code snippet injection
76,9,Timestamp-Dependency,code snippet injection
55,3,Timestamp-Dependency,code snippet injection
