loc,length,bug type,approach
347,1,Timestamp-Dependency,code snippet injection
94,1,Timestamp-Dependency,code snippet injection
92,1,Timestamp-Dependency,code snippet injection
90,1,Timestamp-Dependency,code snippet injection
88,1,Timestamp-Dependency,code snippet injection
78,9,Timestamp-Dependency,code snippet injection
73,4,Timestamp-Dependency,code snippet injection
363,4,Timestamp-Dependency,code snippet injection
331,3,Timestamp-Dependency,code snippet injection
321,5,Timestamp-Dependency,code snippet injection
313,4,Timestamp-Dependency,code snippet injection
303,3,Timestamp-Dependency,code snippet injection
294,5,Timestamp-Dependency,code snippet injection
281,3,Timestamp-Dependency,code snippet injection
271,5,Timestamp-Dependency,code snippet injection
263,3,Timestamp-Dependency,code snippet injection
250,5,Timestamp-Dependency,code snippet injection
236,9,Timestamp-Dependency,code snippet injection
221,4,Timestamp-Dependency,code snippet injection
199,9,Timestamp-Dependency,code snippet injection
188,5,Timestamp-Dependency,code snippet injection
173,9,Timestamp-Dependency,code snippet injection
159,5,Timestamp-Dependency,code snippet injection
147,5,Timestamp-Dependency,code snippet injection
136,4,Timestamp-Dependency,code snippet injection
124,3,Timestamp-Dependency,code snippet injection
98,9,Timestamp-Dependency,code snippet injection
342,3,Timestamp-Dependency,code snippet injection
337,4,Timestamp-Dependency,code snippet injection
54,4,Timestamp-Dependency,code snippet injection
48,4,Timestamp-Dependency,code snippet injection
38,9,Timestamp-Dependency,code snippet injection
32,5,Timestamp-Dependency,code snippet injection
22,9,Timestamp-Dependency,code snippet injection
17,4,Timestamp-Dependency,code snippet injection
