loc,length,bug type,approach
416,1,Timestamp-Dependency,code snippet injection
414,1,Timestamp-Dependency,code snippet injection
98,1,Timestamp-Dependency,code snippet injection
95,1,Timestamp-Dependency,code snippet injection
347,1,Timestamp-Dependency,code snippet injection
404,9,Timestamp-Dependency,code snippet injection
399,4,Timestamp-Dependency,code snippet injection
394,4,Timestamp-Dependency,code snippet injection
389,3,Timestamp-Dependency,code snippet injection
383,5,Timestamp-Dependency,code snippet injection
378,4,Timestamp-Dependency,code snippet injection
371,3,Timestamp-Dependency,code snippet injection
365,5,Timestamp-Dependency,code snippet injection
358,3,Timestamp-Dependency,code snippet injection
352,5,Timestamp-Dependency,code snippet injection
339,3,Timestamp-Dependency,code snippet injection
327,5,Timestamp-Dependency,code snippet injection
313,9,Timestamp-Dependency,code snippet injection
304,4,Timestamp-Dependency,code snippet injection
290,9,Timestamp-Dependency,code snippet injection
280,5,Timestamp-Dependency,code snippet injection
266,9,Timestamp-Dependency,code snippet injection
256,5,Timestamp-Dependency,code snippet injection
246,5,Timestamp-Dependency,code snippet injection
237,4,Timestamp-Dependency,code snippet injection
229,3,Timestamp-Dependency,code snippet injection
215,9,Timestamp-Dependency,code snippet injection
207,3,Timestamp-Dependency,code snippet injection
198,4,Timestamp-Dependency,code snippet injection
176,4,Timestamp-Dependency,code snippet injection
156,4,Timestamp-Dependency,code snippet injection
131,9,Timestamp-Dependency,code snippet injection
115,5,Timestamp-Dependency,code snippet injection
83,9,Timestamp-Dependency,code snippet injection
78,4,Timestamp-Dependency,code snippet injection
73,4,Timestamp-Dependency,code snippet injection
67,5,Timestamp-Dependency,code snippet injection
61,5,Timestamp-Dependency,code snippet injection
57,3,Timestamp-Dependency,code snippet injection
47,9,Timestamp-Dependency,code snippet injection
43,3,Timestamp-Dependency,code snippet injection
39,3,Timestamp-Dependency,code snippet injection
29,9,Timestamp-Dependency,code snippet injection
19,9,Timestamp-Dependency,code snippet injection
15,3,Timestamp-Dependency,code snippet injection
