loc,length,bug type,approach
568,4,Overflow-Underflow,code snippet injection
380,8,Overflow-Underflow,code snippet injection
200,8,Overflow-Underflow,code snippet injection
184,10,Overflow-Underflow,code snippet injection
116,4,Overflow-Underflow,code snippet injection
107,8,Overflow-Underflow,code snippet injection
52,10,Overflow-Underflow,code snippet injection
755,4,Overflow-Underflow,code snippet injection
735,10,Overflow-Underflow,code snippet injection
713,4,Overflow-Underflow,code snippet injection
695,10,Overflow-Underflow,code snippet injection
683,4,Overflow-Underflow,code snippet injection
665,4,Overflow-Underflow,code snippet injection
644,8,Overflow-Underflow,code snippet injection
624,4,Overflow-Underflow,code snippet injection
612,4,Overflow-Underflow,code snippet injection
582,4,Overflow-Underflow,code snippet injection
518,4,Overflow-Underflow,code snippet injection
504,4,Overflow-Underflow,code snippet injection
486,8,Overflow-Underflow,code snippet injection
466,10,Overflow-Underflow,code snippet injection
451,4,Overflow-Underflow,code snippet injection
425,10,Overflow-Underflow,code snippet injection
401,8,Overflow-Underflow,code snippet injection
368,8,Overflow-Underflow,code snippet injection
339,8,Overflow-Underflow,code snippet injection
319,4,Overflow-Underflow,code snippet injection
291,4,Overflow-Underflow,code snippet injection
276,4,Overflow-Underflow,code snippet injection
253,8,Overflow-Underflow,code snippet injection
229,8,Overflow-Underflow,code snippet injection
216,4,Overflow-Underflow,code snippet injection
165,4,Overflow-Underflow,code snippet injection
147,10,Overflow-Underflow,code snippet injection
99,4,Overflow-Underflow,code snippet injection
79,10,Overflow-Underflow,code snippet injection
556,10,Overflow-Underflow,code snippet injection
551,4,Overflow-Underflow,code snippet injection
545,4,Overflow-Underflow,code snippet injection
534,10,Overflow-Underflow,code snippet injection
