loc,length,bug type,approach
261,4,Overflow-Underflow,code snippet injection
167,8,Overflow-Underflow,code snippet injection
116,8,Overflow-Underflow,code snippet injection
502,10,Overflow-Underflow,code snippet injection
490,4,Overflow-Underflow,code snippet injection
475,8,Overflow-Underflow,code snippet injection
448,10,Overflow-Underflow,code snippet injection
426,4,Overflow-Underflow,code snippet injection
401,10,Overflow-Underflow,code snippet injection
384,4,Overflow-Underflow,code snippet injection
365,10,Overflow-Underflow,code snippet injection
343,4,Overflow-Underflow,code snippet injection
324,4,Overflow-Underflow,code snippet injection
303,8,Overflow-Underflow,code snippet injection
291,4,Overflow-Underflow,code snippet injection
279,4,Overflow-Underflow,code snippet injection
203,4,Overflow-Underflow,code snippet injection
193,4,Overflow-Underflow,code snippet injection
180,4,Overflow-Underflow,code snippet injection
135,8,Overflow-Underflow,code snippet injection
103,10,Overflow-Underflow,code snippet injection
97,4,Overflow-Underflow,code snippet injection
86,10,Overflow-Underflow,code snippet injection
76,8,Overflow-Underflow,code snippet injection
67,8,Overflow-Underflow,code snippet injection
58,8,Overflow-Underflow,code snippet injection
53,4,Overflow-Underflow,code snippet injection
48,4,Overflow-Underflow,code snippet injection
43,4,Overflow-Underflow,code snippet injection
249,8,Overflow-Underflow,code snippet injection
238,8,Overflow-Underflow,code snippet injection
233,4,Overflow-Underflow,code snippet injection
228,4,Overflow-Underflow,code snippet injection
217,10,Overflow-Underflow,code snippet injection
161,4,Overflow-Underflow,code snippet injection
150,10,Overflow-Underflow,code snippet injection
