loc,length,bug type,approach
468,4,Overflow-Underflow,code snippet injection
408,8,Overflow-Underflow,code snippet injection
277,8,Overflow-Underflow,code snippet injection
266,10,Overflow-Underflow,code snippet injection
180,4,Overflow-Underflow,code snippet injection
132,8,Overflow-Underflow,code snippet injection
62,10,Overflow-Underflow,code snippet injection
35,4,Overflow-Underflow,code snippet injection
546,10,Overflow-Underflow,code snippet injection
528,4,Overflow-Underflow,code snippet injection
514,10,Overflow-Underflow,code snippet injection
501,4,Overflow-Underflow,code snippet injection
493,4,Overflow-Underflow,code snippet injection
480,8,Overflow-Underflow,code snippet injection
460,4,Overflow-Underflow,code snippet injection
452,4,Overflow-Underflow,code snippet injection
439,4,Overflow-Underflow,code snippet injection
431,4,Overflow-Underflow,code snippet injection
422,4,Overflow-Underflow,code snippet injection
396,8,Overflow-Underflow,code snippet injection
382,10,Overflow-Underflow,code snippet injection
374,4,Overflow-Underflow,code snippet injection
360,10,Overflow-Underflow,code snippet injection
348,8,Overflow-Underflow,code snippet injection
333,8,Overflow-Underflow,code snippet injection
320,8,Overflow-Underflow,code snippet injection
299,4,Overflow-Underflow,code snippet injection
258,4,Overflow-Underflow,code snippet injection
243,4,Overflow-Underflow,code snippet injection
229,8,Overflow-Underflow,code snippet injection
217,8,Overflow-Underflow,code snippet injection
207,4,Overflow-Underflow,code snippet injection
180,4,Overflow-Underflow,code snippet injection
169,10,Overflow-Underflow,code snippet injection
164,4,Overflow-Underflow,code snippet injection
150,10,Overflow-Underflow,code snippet injection
117,10,Overflow-Underflow,code snippet injection
109,4,Overflow-Underflow,code snippet injection
95,4,Overflow-Underflow,code snippet injection
62,10,Overflow-Underflow,code snippet injection
