loc,length,bug type,approach
95,4,Overflow-Underflow,code snippet injection
86,8,Overflow-Underflow,code snippet injection
268,8,Overflow-Underflow,code snippet injection
228,10,Overflow-Underflow,code snippet injection
211,4,Overflow-Underflow,code snippet injection
195,8,Overflow-Underflow,code snippet injection
180,10,Overflow-Underflow,code snippet injection
168,4,Overflow-Underflow,code snippet injection
145,10,Overflow-Underflow,code snippet injection
136,4,Overflow-Underflow,code snippet injection
75,10,Overflow-Underflow,code snippet injection
70,4,Overflow-Underflow,code snippet injection
65,4,Overflow-Underflow,code snippet injection
56,8,Overflow-Underflow,code snippet injection
51,4,Overflow-Underflow,code snippet injection
257,4,Overflow-Underflow,code snippet injection
251,4,Overflow-Underflow,code snippet injection
246,4,Overflow-Underflow,code snippet injection
241,4,Overflow-Underflow,code snippet injection
115,8,Overflow-Underflow,code snippet injection
104,10,Overflow-Underflow,code snippet injection
44,4,Overflow-Underflow,code snippet injection
