loc,length,bug type,approach
232,4,Overflow-Underflow,code snippet injection
97,8,Overflow-Underflow,code snippet injection
26,8,Overflow-Underflow,code snippet injection
436,10,Overflow-Underflow,code snippet injection
428,4,Overflow-Underflow,code snippet injection
372,8,Overflow-Underflow,code snippet injection
342,10,Overflow-Underflow,code snippet injection
323,4,Overflow-Underflow,code snippet injection
304,10,Overflow-Underflow,code snippet injection
285,4,Overflow-Underflow,code snippet injection
232,10,Overflow-Underflow,code snippet injection
227,4,Overflow-Underflow,code snippet injection
222,4,Overflow-Underflow,code snippet injection
207,8,Overflow-Underflow,code snippet injection
195,4,Overflow-Underflow,code snippet injection
176,4,Overflow-Underflow,code snippet injection
148,4,Overflow-Underflow,code snippet injection
134,4,Overflow-Underflow,code snippet injection
114,4,Overflow-Underflow,code snippet injection
26,8,Overflow-Underflow,code snippet injection
15,10,Overflow-Underflow,code snippet injection
10,4,Overflow-Underflow,code snippet injection
412,10,Overflow-Underflow,code snippet injection
403,8,Overflow-Underflow,code snippet injection
394,8,Overflow-Underflow,code snippet injection
385,8,Overflow-Underflow,code snippet injection
258,4,Overflow-Underflow,code snippet injection
164,4,Overflow-Underflow,code snippet injection
159,4,Overflow-Underflow,code snippet injection
87,8,Overflow-Underflow,code snippet injection
