loc,length,bug type,approach
113,4,Overflow-Underflow,code snippet injection
1113,8,Overflow-Underflow,code snippet injection
1093,8,Overflow-Underflow,code snippet injection
1071,10,Overflow-Underflow,code snippet injection
1049,4,Overflow-Underflow,code snippet injection
1026,8,Overflow-Underflow,code snippet injection
1005,10,Overflow-Underflow,code snippet injection
986,4,Overflow-Underflow,code snippet injection
967,10,Overflow-Underflow,code snippet injection
953,4,Overflow-Underflow,code snippet injection
915,10,Overflow-Underflow,code snippet injection
862,4,Overflow-Underflow,code snippet injection
847,4,Overflow-Underflow,code snippet injection
821,8,Overflow-Underflow,code snippet injection
472,4,Overflow-Underflow,code snippet injection
451,4,Overflow-Underflow,code snippet injection
434,4,Overflow-Underflow,code snippet injection
419,4,Overflow-Underflow,code snippet injection
401,4,Overflow-Underflow,code snippet injection
299,8,Overflow-Underflow,code snippet injection
271,10,Overflow-Underflow,code snippet injection
252,4,Overflow-Underflow,code snippet injection
225,10,Overflow-Underflow,code snippet injection
203,8,Overflow-Underflow,code snippet injection
179,8,Overflow-Underflow,code snippet injection
158,8,Overflow-Underflow,code snippet injection
133,4,Overflow-Underflow,code snippet injection
881,4,Overflow-Underflow,code snippet injection
812,4,Overflow-Underflow,code snippet injection
800,8,Overflow-Underflow,code snippet injection
791,8,Overflow-Underflow,code snippet injection
372,4,Overflow-Underflow,code snippet injection
362,4,Overflow-Underflow,code snippet injection
351,10,Overflow-Underflow,code snippet injection
346,4,Overflow-Underflow,code snippet injection
335,10,Overflow-Underflow,code snippet injection
322,10,Overflow-Underflow,code snippet injection
316,4,Overflow-Underflow,code snippet injection
103,4,Overflow-Underflow,code snippet injection
87,10,Overflow-Underflow,code snippet injection
