loc,length,bug type,approach
324,4,Overflow-Underflow,code snippet injection
196,8,Overflow-Underflow,code snippet injection
151,8,Overflow-Underflow,code snippet injection
107,10,Overflow-Underflow,code snippet injection
592,4,Overflow-Underflow,code snippet injection
569,8,Overflow-Underflow,code snippet injection
533,10,Overflow-Underflow,code snippet injection
495,4,Overflow-Underflow,code snippet injection
475,10,Overflow-Underflow,code snippet injection
466,4,Overflow-Underflow,code snippet injection
451,10,Overflow-Underflow,code snippet injection
430,4,Overflow-Underflow,code snippet injection
421,4,Overflow-Underflow,code snippet injection
404,8,Overflow-Underflow,code snippet injection
383,4,Overflow-Underflow,code snippet injection
374,4,Overflow-Underflow,code snippet injection
357,4,Overflow-Underflow,code snippet injection
196,4,Overflow-Underflow,code snippet injection
191,4,Overflow-Underflow,code snippet injection
182,8,Overflow-Underflow,code snippet injection
151,10,Overflow-Underflow,code snippet injection
146,4,Overflow-Underflow,code snippet injection
135,10,Overflow-Underflow,code snippet injection
107,8,Overflow-Underflow,code snippet injection
98,8,Overflow-Underflow,code snippet injection
79,8,Overflow-Underflow,code snippet injection
56,4,Overflow-Underflow,code snippet injection
318,4,Overflow-Underflow,code snippet injection
313,4,Overflow-Underflow,code snippet injection
304,8,Overflow-Underflow,code snippet injection
288,8,Overflow-Underflow,code snippet injection
283,4,Overflow-Underflow,code snippet injection
278,4,Overflow-Underflow,code snippet injection
265,10,Overflow-Underflow,code snippet injection
260,4,Overflow-Underflow,code snippet injection
249,10,Overflow-Underflow,code snippet injection
238,10,Overflow-Underflow,code snippet injection
233,4,Overflow-Underflow,code snippet injection
227,4,Overflow-Underflow,code snippet injection
216,10,Overflow-Underflow,code snippet injection
