loc,length,bug type,approach
1609,4,Overflow-Underflow,code snippet injection
1600,8,Overflow-Underflow,code snippet injection
1591,8,Overflow-Underflow,code snippet injection
1580,10,Overflow-Underflow,code snippet injection
1575,4,Overflow-Underflow,code snippet injection
1566,8,Overflow-Underflow,code snippet injection
1555,10,Overflow-Underflow,code snippet injection
1550,4,Overflow-Underflow,code snippet injection
1539,10,Overflow-Underflow,code snippet injection
1534,4,Overflow-Underflow,code snippet injection
1523,10,Overflow-Underflow,code snippet injection
1518,4,Overflow-Underflow,code snippet injection
1513,4,Overflow-Underflow,code snippet injection
1504,8,Overflow-Underflow,code snippet injection
308,4,Overflow-Underflow,code snippet injection
299,4,Overflow-Underflow,code snippet injection
290,4,Overflow-Underflow,code snippet injection
54,4,Overflow-Underflow,code snippet injection
49,4,Overflow-Underflow,code snippet injection
2327,8,Overflow-Underflow,code snippet injection
2289,10,Overflow-Underflow,code snippet injection
2257,4,Overflow-Underflow,code snippet injection
2219,10,Overflow-Underflow,code snippet injection
2183,8,Overflow-Underflow,code snippet injection
2144,8,Overflow-Underflow,code snippet injection
2105,8,Overflow-Underflow,code snippet injection
2064,4,Overflow-Underflow,code snippet injection
2026,4,Overflow-Underflow,code snippet injection
1991,4,Overflow-Underflow,code snippet injection
1956,8,Overflow-Underflow,code snippet injection
1923,8,Overflow-Underflow,code snippet injection
1896,4,Overflow-Underflow,code snippet injection
1866,4,Overflow-Underflow,code snippet injection
1830,10,Overflow-Underflow,code snippet injection
1802,4,Overflow-Underflow,code snippet injection
1767,10,Overflow-Underflow,code snippet injection
1728,10,Overflow-Underflow,code snippet injection
1669,4,Overflow-Underflow,code snippet injection
1627,4,Overflow-Underflow,code snippet injection
1489,10,Overflow-Underflow,code snippet injection
