loc,length,bug type,approach
113,4,Overflow-Underflow,code snippet injection
86,8,Overflow-Underflow,code snippet injection
77,8,Overflow-Underflow,code snippet injection
468,10,Overflow-Underflow,code snippet injection
461,4,Overflow-Underflow,code snippet injection
449,8,Overflow-Underflow,code snippet injection
431,10,Overflow-Underflow,code snippet injection
419,4,Overflow-Underflow,code snippet injection
406,10,Overflow-Underflow,code snippet injection
398,4,Overflow-Underflow,code snippet injection
364,10,Overflow-Underflow,code snippet injection
259,4,Overflow-Underflow,code snippet injection
252,4,Overflow-Underflow,code snippet injection
238,8,Overflow-Underflow,code snippet injection
231,4,Overflow-Underflow,code snippet injection
220,4,Overflow-Underflow,code snippet injection
211,4,Overflow-Underflow,code snippet injection
201,4,Overflow-Underflow,code snippet injection
194,4,Overflow-Underflow,code snippet injection
182,8,Overflow-Underflow,code snippet injection
151,10,Overflow-Underflow,code snippet injection
141,4,Overflow-Underflow,code snippet injection
122,10,Overflow-Underflow,code snippet injection
99,8,Overflow-Underflow,code snippet injection
68,8,Overflow-Underflow,code snippet injection
59,8,Overflow-Underflow,code snippet injection
54,4,Overflow-Underflow,code snippet injection
49,4,Overflow-Underflow,code snippet injection
44,4,Overflow-Underflow,code snippet injection
35,8,Overflow-Underflow,code snippet injection
340,8,Overflow-Underflow,code snippet injection
335,4,Overflow-Underflow,code snippet injection
330,4,Overflow-Underflow,code snippet injection
319,10,Overflow-Underflow,code snippet injection
314,4,Overflow-Underflow,code snippet injection
303,10,Overflow-Underflow,code snippet injection
290,10,Overflow-Underflow,code snippet injection
285,4,Overflow-Underflow,code snippet injection
280,4,Overflow-Underflow,code snippet injection
269,10,Overflow-Underflow,code snippet injection
