loc,length,bug type,approach
989,4,Overflow-Underflow,code snippet injection
980,8,Overflow-Underflow,code snippet injection
572,8,Overflow-Underflow,code snippet injection
104,10,Overflow-Underflow,code snippet injection
98,4,Overflow-Underflow,code snippet injection
88,8,Overflow-Underflow,code snippet injection
969,10,Overflow-Underflow,code snippet injection
964,4,Overflow-Underflow,code snippet injection
953,10,Overflow-Underflow,code snippet injection
947,4,Overflow-Underflow,code snippet injection
936,10,Overflow-Underflow,code snippet injection
931,4,Overflow-Underflow,code snippet injection
917,4,Overflow-Underflow,code snippet injection
908,8,Overflow-Underflow,code snippet injection
900,4,Overflow-Underflow,code snippet injection
895,4,Overflow-Underflow,code snippet injection
887,4,Overflow-Underflow,code snippet injection
869,4,Overflow-Underflow,code snippet injection
861,4,Overflow-Underflow,code snippet injection
847,8,Overflow-Underflow,code snippet injection
833,10,Overflow-Underflow,code snippet injection
824,4,Overflow-Underflow,code snippet injection
809,10,Overflow-Underflow,code snippet injection
772,8,Overflow-Underflow,code snippet injection
756,8,Overflow-Underflow,code snippet injection
721,8,Overflow-Underflow,code snippet injection
712,4,Overflow-Underflow,code snippet injection
703,4,Overflow-Underflow,code snippet injection
682,4,Overflow-Underflow,code snippet injection
644,8,Overflow-Underflow,code snippet injection
605,8,Overflow-Underflow,code snippet injection
591,4,Overflow-Underflow,code snippet injection
535,4,Overflow-Underflow,code snippet injection
521,10,Overflow-Underflow,code snippet injection
513,4,Overflow-Underflow,code snippet injection
499,10,Overflow-Underflow,code snippet injection
485,10,Overflow-Underflow,code snippet injection
477,4,Overflow-Underflow,code snippet injection
469,4,Overflow-Underflow,code snippet injection
455,10,Overflow-Underflow,code snippet injection
