loc,length,bug type,approach
534,4,Overflow-Underflow,code snippet injection
525,8,Overflow-Underflow,code snippet injection
516,8,Overflow-Underflow,code snippet injection
1022,10,Overflow-Underflow,code snippet injection
995,4,Overflow-Underflow,code snippet injection
975,8,Overflow-Underflow,code snippet injection
955,10,Overflow-Underflow,code snippet injection
938,4,Overflow-Underflow,code snippet injection
920,10,Overflow-Underflow,code snippet injection
906,4,Overflow-Underflow,code snippet injection
861,10,Overflow-Underflow,code snippet injection
831,4,Overflow-Underflow,code snippet injection
801,4,Overflow-Underflow,code snippet injection
782,8,Overflow-Underflow,code snippet injection
768,4,Overflow-Underflow,code snippet injection
749,4,Overflow-Underflow,code snippet injection
713,4,Overflow-Underflow,code snippet injection
699,4,Overflow-Underflow,code snippet injection
650,4,Overflow-Underflow,code snippet injection
632,8,Overflow-Underflow,code snippet injection
606,10,Overflow-Underflow,code snippet injection
590,4,Overflow-Underflow,code snippet injection
497,10,Overflow-Underflow,code snippet injection
483,8,Overflow-Underflow,code snippet injection
469,8,Overflow-Underflow,code snippet injection
459,8,Overflow-Underflow,code snippet injection
442,4,Overflow-Underflow,code snippet injection
424,4,Overflow-Underflow,code snippet injection
406,4,Overflow-Underflow,code snippet injection
383,8,Overflow-Underflow,code snippet injection
361,8,Overflow-Underflow,code snippet injection
339,4,Overflow-Underflow,code snippet injection
317,4,Overflow-Underflow,code snippet injection
292,10,Overflow-Underflow,code snippet injection
271,4,Overflow-Underflow,code snippet injection
251,10,Overflow-Underflow,code snippet injection
231,10,Overflow-Underflow,code snippet injection
218,4,Overflow-Underflow,code snippet injection
185,4,Overflow-Underflow,code snippet injection
174,10,Overflow-Underflow,code snippet injection
