loc,length,bug type,approach
2799,4,Overflow-Underflow,code snippet injection
2789,8,Overflow-Underflow,code snippet injection
2775,8,Overflow-Underflow,code snippet injection
2759,10,Overflow-Underflow,code snippet injection
1644,4,Overflow-Underflow,code snippet injection
1635,8,Overflow-Underflow,code snippet injection
1624,10,Overflow-Underflow,code snippet injection
1619,4,Overflow-Underflow,code snippet injection
1607,10,Overflow-Underflow,code snippet injection
1597,4,Overflow-Underflow,code snippet injection
1581,10,Overflow-Underflow,code snippet injection
1571,4,Overflow-Underflow,code snippet injection
901,4,Overflow-Underflow,code snippet injection
892,8,Overflow-Underflow,code snippet injection
887,4,Overflow-Underflow,code snippet injection
882,4,Overflow-Underflow,code snippet injection
877,4,Overflow-Underflow,code snippet injection
872,4,Overflow-Underflow,code snippet injection
867,4,Overflow-Underflow,code snippet injection
245,8,Overflow-Underflow,code snippet injection
233,10,Overflow-Underflow,code snippet injection
146,4,Overflow-Underflow,code snippet injection
2983,10,Overflow-Underflow,code snippet injection
2965,8,Overflow-Underflow,code snippet injection
2925,8,Overflow-Underflow,code snippet injection
2902,8,Overflow-Underflow,code snippet injection
2879,4,Overflow-Underflow,code snippet injection
2851,4,Overflow-Underflow,code snippet injection
2732,4,Overflow-Underflow,code snippet injection
2716,8,Overflow-Underflow,code snippet injection
2700,8,Overflow-Underflow,code snippet injection
2688,4,Overflow-Underflow,code snippet injection
2668,4,Overflow-Underflow,code snippet injection
2646,10,Overflow-Underflow,code snippet injection
2607,4,Overflow-Underflow,code snippet injection
2588,10,Overflow-Underflow,code snippet injection
2569,10,Overflow-Underflow,code snippet injection
2557,4,Overflow-Underflow,code snippet injection
2544,4,Overflow-Underflow,code snippet injection
2525,10,Overflow-Underflow,code snippet injection
