loc,length,bug type,approach
147,4,Overflow-Underflow,code snippet injection
120,8,Overflow-Underflow,code snippet injection
471,8,Overflow-Underflow,code snippet injection
451,10,Overflow-Underflow,code snippet injection
389,4,Overflow-Underflow,code snippet injection
370,8,Overflow-Underflow,code snippet injection
354,10,Overflow-Underflow,code snippet injection
346,4,Overflow-Underflow,code snippet injection
330,10,Overflow-Underflow,code snippet injection
272,4,Overflow-Underflow,code snippet injection
258,10,Overflow-Underflow,code snippet injection
214,4,Overflow-Underflow,code snippet injection
206,4,Overflow-Underflow,code snippet injection
147,8,Overflow-Underflow,code snippet injection
142,4,Overflow-Underflow,code snippet injection
137,4,Overflow-Underflow,code snippet injection
120,4,Overflow-Underflow,code snippet injection
115,4,Overflow-Underflow,code snippet injection
110,4,Overflow-Underflow,code snippet injection
94,8,Overflow-Underflow,code snippet injection
78,10,Overflow-Underflow,code snippet injection
425,4,Overflow-Underflow,code snippet injection
414,10,Overflow-Underflow,code snippet injection
405,8,Overflow-Underflow,code snippet injection
396,8,Overflow-Underflow,code snippet injection
280,8,Overflow-Underflow,code snippet injection
197,4,Overflow-Underflow,code snippet injection
192,4,Overflow-Underflow,code snippet injection
187,4,Overflow-Underflow,code snippet injection
178,8,Overflow-Underflow,code snippet injection
169,8,Overflow-Underflow,code snippet injection
164,4,Overflow-Underflow,code snippet injection
63,4,Overflow-Underflow,code snippet injection
52,10,Overflow-Underflow,code snippet injection
47,4,Overflow-Underflow,code snippet injection
36,10,Overflow-Underflow,code snippet injection
