loc,length,bug type,approach
954,4,Overflow-Underflow,code snippet injection
939,8,Overflow-Underflow,code snippet injection
923,8,Overflow-Underflow,code snippet injection
906,10,Overflow-Underflow,code snippet injection
743,4,Overflow-Underflow,code snippet injection
731,8,Overflow-Underflow,code snippet injection
717,10,Overflow-Underflow,code snippet injection
519,4,Overflow-Underflow,code snippet injection
504,10,Overflow-Underflow,code snippet injection
492,4,Overflow-Underflow,code snippet injection
354,10,Overflow-Underflow,code snippet injection
349,4,Overflow-Underflow,code snippet injection
137,4,Overflow-Underflow,code snippet injection
125,8,Overflow-Underflow,code snippet injection
102,4,Overflow-Underflow,code snippet injection
64,4,Overflow-Underflow,code snippet injection
15,4,Overflow-Underflow,code snippet injection
1310,4,Overflow-Underflow,code snippet injection
1293,4,Overflow-Underflow,code snippet injection
1276,8,Overflow-Underflow,code snippet injection
1238,10,Overflow-Underflow,code snippet injection
1211,4,Overflow-Underflow,code snippet injection
1196,10,Overflow-Underflow,code snippet injection
1131,8,Overflow-Underflow,code snippet injection
1117,8,Overflow-Underflow,code snippet injection
1100,8,Overflow-Underflow,code snippet injection
1089,4,Overflow-Underflow,code snippet injection
1080,4,Overflow-Underflow,code snippet injection
1071,4,Overflow-Underflow,code snippet injection
1057,8,Overflow-Underflow,code snippet injection
1037,8,Overflow-Underflow,code snippet injection
1027,4,Overflow-Underflow,code snippet injection
982,4,Overflow-Underflow,code snippet injection
868,10,Overflow-Underflow,code snippet injection
851,4,Overflow-Underflow,code snippet injection
829,10,Overflow-Underflow,code snippet injection
806,10,Overflow-Underflow,code snippet injection
703,4,Overflow-Underflow,code snippet injection
688,4,Overflow-Underflow,code snippet injection
667,10,Overflow-Underflow,code snippet injection
